document_no,counterparty,party_code,due_date,days_overdue,bucket,outstanding_inr,expected_in_window_inr,status
INV-2026-000495,Suryavansh Petro Chemicals & Co,,2026-05-18,110,91-180,6000000.0,0.0,overdue
INV-2026-001190,Shree Balaji Hardware Private Limited,,2026-08-08,28,1-30,6000000.0,47240.79,overdue
INV-2026-001481,Ashwini Solar EPC PVT LTD,,2026-09-03,2,1-30,6000000.0,5018913.61,overdue
INV-2026-000085,Shree Balaji Hardware Private Limited,,2026-04-30,128,91-180,5472308.0,125459.0,overdue
INV-2026-000571,Sahyadri Polymers PVT LTD,,2026-06-09,88,61-90,4091866.0,0.0,overdue
INV-2026-000178,Goldcrest Security Systems & Co,,2026-05-22,106,91-180,3888364.0,0.0,overdue
INV-2026-000379,Zenith One Logistics & Co,,2026-05-07,121,91-180,3620347.0,0.0,overdue
INV-2026-001755,Orbitex Paper Mills PVT LTD,,2026-08-21,15,1-30,3578805.0,0.0,overdue
INV-2026-000024,Goldcrest Steel Traders Company,,2026-03-25,164,91-180,3384171.0,0.0,overdue
INV-2026-000986,Sahyadri Polymers PVT LTD,,2026-07-20,47,31-60,3361899.0,0.0,overdue
INV-2026-001087,Orbitex Packaging Private Limited,,2026-07-28,39,31-60,3344274.0,18387.61,overdue
INV-2026-000761,Shree Balaji Hardware Private Limited,,2026-06-27,70,61-90,3291035.0,0.0,overdue
INV-2026-000983,Ashwini Cold Chain Ltd,,2026-07-04,63,61-90,3088932.0,0.0,overdue
INV-2026-000325,Anant Infra Staffing Private Limited,,2026-05-16,112,91-180,3045523.0,0.0,overdue
INV-2026-001402,Orbitex Packaging Private Limited,,2026-08-27,9,1-30,3024795.0,0.0,overdue
INV-2026-001282,Orbitex Paper Mills PVT LTD,,2026-07-08,59,31-60,2796676.0,0.0,overdue
INV-2026-001237,Goldcrest Security Systems & Co,,2026-08-28,8,1-30,2680301.0,0.0,overdue
INV-2026-000243,Zenith One Logistics & Co,,2026-04-27,131,91-180,2589772.0,55203.84,overdue
INV-2026-001003,Orbitex Paper Mills PVT LTD,,2026-06-12,85,61-90,2566277.0,0.0,overdue
INV-2026-001564,Orbitex Paper Mills PVT LTD,,2026-08-03,33,31-60,2520096.0,7216.63,overdue
INV-2026-000825,Orbitex Packaging Private Limited,,2026-07-04,63,61-90,2382858.0,0.0,overdue
INV-2026-001022,Shree Balaji Hardware Private Limited,,2026-07-23,44,31-60,2331570.0,0.0,overdue
INV-2026-000143,Orbitex Packaging Private Limited,,2026-05-04,124,91-180,2325469.0,0.0,overdue
INV-2026-000083,Orbitex Paper Mills PVT LTD,,2026-03-23,166,91-180,2311505.0,0.0,overdue
INV-2026-000407,Meridian Lab Supplies LLP,,2026-04-16,142,91-180,2286415.0,0.0,overdue
INV-2026-001366,Orbitex Paper Mills PVT LTD,,2026-07-16,51,31-60,2245300.0,0.0,overdue
INV-2026-000481,Ashwini Cold Chain Ltd,,2026-05-16,112,91-180,2234888.0,927.48,overdue
INV-2026-000259,Ashwini Cold Chain Ltd,,2026-04-27,131,91-180,2194977.0,0.0,overdue
INV-2026-000782,Ashwini Solar EPC PVT LTD,,2026-06-29,68,61-90,2126303.0,4206.04,overdue
INV-2026-000212,Orbitex Packaging Private Limited,,2026-05-09,119,91-180,2083834.0,0.0,overdue
