document_no,counterparty,party_code,due_date,days_overdue,bucket,outstanding_inr,expected_in_window_inr,status
INV-2026-000093,Saptagiri Water Treatment LLP,,2026-06-06,91,91-180,6000000.0,0.0,overdue
INV-2026-000443,Saptagiri Water Treatment LLP,,2026-07-21,46,31-60,6000000.0,0.0,overdue
INV-2026-000622,Saptagiri Water Treatment LLP,,2026-08-14,22,1-30,6000000.0,0.0,overdue
INV-2026-000686,Raman Deep Conveyances Private Limited,,2026-08-22,14,1-30,6000000.0,0.0,overdue
INV-2026-000419,Raman Deep Conveyances Private Limited,,2026-07-16,51,31-60,5642663.0,0.0,overdue
INV-2026-000181,Raman Deep Conveyances Private Limited,,2026-06-18,79,61-90,5594420.0,0.0,overdue
INV-2026-000675,Saptagiri Water Treatment LLP,,2026-08-21,15,1-30,4669550.0,0.0,overdue
INV-2026-000372,Raman Deep Conveyances Private Limited,,2026-07-13,54,31-60,4575368.0,0.0,overdue
INV-2026-000163,Raman Deep Conveyances Private Limited,,2026-06-16,81,61-90,3623002.0,0.0,overdue
INV-2026-000366,Saptagiri Water Treatment LLP,,2026-07-11,56,31-60,3498241.0,0.0,overdue
INV-2026-000123,Raman Deep Conveyances Private Limited,,2026-06-11,86,61-90,3350391.0,0.0,overdue
INV-2026-000385,Vaishnavi Textiles LLP,,2026-07-14,53,31-60,2636351.0,0.0,overdue
INV-2026-000445,Raman Deep Conveyances Private Limited,,2026-07-21,46,31-60,2598813.0,0.0,overdue
INV-2026-000745,Saptagiri Water Treatment LLP,,2026-08-31,5,1-30,2485887.0,2204163.57,overdue
INV-2026-000303,Saptagiri Water Treatment LLP,,2026-07-04,63,61-90,2465155.0,0.0,overdue
INV-2026-000323,Saptagiri Water Treatment LLP,,2026-07-07,60,31-60,2167751.0,0.0,overdue
INV-2026-000428,Anant Infra Solar EPC Ltd,,2026-08-31,5,1-30,2167689.0,1932467.57,overdue
INV-2026-000251,Karman Print Solutions Private Limited,,2026-07-27,40,31-60,2085591.0,0.0,overdue
INV-2026-000186,Karman Print Solutions Private Limited,,2026-07-18,49,31-60,2004125.0,3241.12,overdue
INV-2026-000042,Vaishnavi Textiles LLP,,2026-05-29,99,91-180,1978625.0,0.0,overdue
INV-2026-000050,Saptagiri Water Treatment LLP,,2026-05-30,98,91-180,1933176.0,0.0,overdue
INV-2026-000593,Saptagiri Water Treatment LLP,,2026-08-11,25,1-30,1883307.0,0.0,overdue
INV-2026-000317,Saptagiri Water Treatment LLP,,2026-07-06,61,61-90,1764730.0,0.0,overdue
INV-2026-000184,Raman Deep Conveyances Private Limited,,2026-06-18,79,61-90,1690763.0,0.0,overdue
INV-2026-000233,Everstone Logistics Ltd,,2026-07-10,57,31-60,1660080.0,0.0,overdue
INV-2026-000049,Vaishnavi Textiles LLP,,2026-05-30,98,91-180,1504132.0,0.0,overdue
INV-2026-000011,Anant Infra Solar EPC Ltd,,2026-07-08,59,31-60,1470455.0,0.0,overdue
INV-2026-000278,Saptagiri Water Treatment LLP,,2026-07-01,66,61-90,1465688.0,5513.54,overdue
INV-2026-000014,Everstone Logistics Ltd,,2026-06-08,89,61-90,1395346.0,0.0,overdue
INV-2026-000096,Vaishnavi Textiles LLP,,2026-06-06,91,91-180,1367616.0,2856.96,overdue
INV-2026-000666,Zenith One Electricals & Co,,2026-08-20,16,1-30,1366876.0,0.0,overdue
INV-2026-000665,Vaishnavi Textiles LLP,,2026-08-20,16,1-30,1346749.0,305761.47,overdue
