day,expected_in_paise,expected_out_paise,expected_net_paise,closing_paise,closing_p10_paise,closing_p50_paise,closing_p90_paise,band_width_paise,below_operating_minimum,top_drivers
2026-09-06,177320099,77335688,99984411,2299984411,2136468100,2274525400,2503930380,367462280,,"INV-2026-000428·Anant·p0.95 ₹246,570 | INV-2026-000745·Saptagiri·p0.93 ₹214,756 | INV-2026-000756·Saptagiri·p0.93 ₹99,061"
2026-09-07,351420444,170993533,180426911,2480411322,2163266884,2388943312,2674817557,511550673,,"INV-2026-000428·Anant·p0.95 ₹370,313 | INV-2026-000745·Saptagiri·p0.93 ₹338,371 | INV-2026-000756·Saptagiri·p0.93 ₹159,290"
2026-09-08,165053808,78058933,86994875,2567406197,2221474470,2509377550,2824179934,602705464,,"INV-2026-000428·Anant·p0.95 ₹156,716 | INV-2026-000745·Saptagiri·p0.93 ₹150,708 | INV-2026-000756·Saptagiri·p0.93 ₹72,431"
2026-09-09,281667224,135320758,146346466,2713752663,2307118580,2638764562,2959273197,652154617,,"INV-2026-000745·Saptagiri·p0.93 ₹249,715 | INV-2026-000428·Anant·p0.95 ₹245,903 | INV-2026-000756·Saptagiri·p0.93 ₹122,582"
2026-09-10,226869272,112859239,114010033,2827762696,2382438377,2735221825,3112768018,730329641,,"INV-2026-000745·Saptagiri·p0.93 ₹195,000 | INV-2026-000428·Anant·p0.95 ₹181,222 | INV-2026-000756·Saptagiri·p0.93 ₹97,804"
2026-09-11,187386961,91465266,95921695,2923684391,2479151464,2853139197,3230724793,751573329,,"INV-2026-000745·Saptagiri·p0.93 ₹144,858 | INV-2026-000428·Anant·p0.95 ₹126,620 | INV-2026-000756·Saptagiri·p0.93 ₹74,266"
2026-09-12,165712203,82195483,83516720,3007201111,2588960940,2974831879,3353668292,764707352,,"INV-2026-000745·Saptagiri·p0.93 ₹116,831 | INV-2026-000428·Anant·p0.95 ₹95,743 | INV-2026-000756·Saptagiri·p0.93 ₹61,241"
2026-09-13,178133883,86004748,92129135,3099330246,2669954742,3059321900,3442646573,772691831,,"INV-2026-000745·Saptagiri·p0.93 ₹145,633 | INV-2026-000428·Anant·p0.95 ₹111,571 | INV-2026-000756·Saptagiri·p0.93 ₹78,069"
2026-09-14,350144768,183603717,166541051,3265871297,2766362344,3159118580,3558650274,792287930,,"INV-2026-000745·Saptagiri·p0.93 ₹197,007 | INV-2026-000428·Anant·p0.95 ₹140,522 | INV-2026-000679·Karman·p0.86 ₹123,279"
2026-09-15,163997773,83301005,80696768,3346568065,2843174507,3254193621,3664366131,821191624,,"INV-2026-000745·Saptagiri·p0.93 ₹75,198 | INV-2026-000679·Karman·p0.86 ₹65,435 | INV-2026-000623·Karman·p0.86 ₹50,119"
2026-09-16,279772942,143421823,136351119,3482919184,2947173023,3362350359,3802966042,855793019,,"INV-2026-000679·Karman·p0.86 ₹129,386 | INV-2026-000745·Saptagiri·p0.93 ₹106,611 | INV-2026-000659·Lohiya·p0.89 ₹95,461"
2026-09-17,225688232,118753202,106935030,3589854214,3017472153,3451307433,3897301048,879828895,,"INV-2026-000679·Karman·p0.86 ₹120,612 | INV-2026-000659·Lohiya·p0.89 ₹85,522 | INV-2026-000689·Karman·p0.86 ₹75,823"
2026-09-18,186765647,95491819,91273828,3681128042,3109782427,3559014623,4035721471,925939044,,"INV-2026-000679·Karman·p0.86 ₹107,217 | INV-2026-000659·Lohiya·p0.89 ₹72,454 | INV-2026-000689·Karman·p0.86 ₹67,403"
2026-09-19,165310679,85134141,80176538,3761304580,3194059729,3664329020,4137000873,942941144,,"INV-2026-000679·Karman·p0.86 ₹103,835 | INV-2026-000659·Lohiya·p0.89 ₹66,240 | INV-2026-000689·Karman·p0.86 ₹65,277"
2026-09-20,177007819,89222807,87785012,3849089592,3289637477,3745603676,4250762587,961125110,,"INV-2026-000679·Karman·p0.86 ₹156,082 | INV-2026-000689·Karman·p0.86 ₹98,122 | INV-2026-000659·Lohiya·p0.89 ₹93,042"
2026-09-21,346104968,187219166,158885802,4007975394,3360173838,3832456829,4328928273,968754435,,"INV-2026-000679·Karman·p0.86 ₹255,884 | INV-2026-000689·Karman·p0.86 ₹160,863 | INV-2026-000659·Lohiya·p0.89 ₹141,024"
2026-09-22,160394025,84316421,76077604,4084052998,3443842997,3932332951,4427542909,983699912,,"INV-2026-000679·Karman·p0.86 ₹118,992 | INV-2026-000689·Karman·p0.86 ₹74,805 | INV-2026-000874·Saptagiri·p0.93 ₹61,715"
2026-09-23,269338428,144227775,125110653,4209163651,3520697413,4019429575,4507002007,986304594,,"INV-2026-000679·Karman·p0.86 ₹206,692 | INV-2026-000689·Karman·p0.86 ₹129,938 | INV-2026-000874·Saptagiri·p0.93 ₹108,824"
2026-09-24,212819613,118750817,94068796,4303232447,3601214409,4109942106,4609275791,1008061382,,"INV-2026-000679·Karman·p0.86 ₹169,960 | INV-2026-000689·Karman·p0.86 ₹106,846 | INV-2026-000874·Saptagiri·p0.93 ₹90,540"
2026-09-25,177577698,98676974,78900724,4382133171,3672578578,4191669044,4694969315,1022390737,,"INV-2026-000679·Karman·p0.86 ₹133,604 | INV-2026-000689·Karman·p0.86 ₹83,991 | INV-2026-000874·Saptagiri·p0.93 ₹71,748"
2026-09-26,153436558,87543913,65892645,4448025816,3739867941,4265519736,4773576318,1033708377,,"INV-2026-000679·Karman·p0.86 ₹114,602 | INV-2026-000689·Karman·p0.86 ₹72,045 | INV-2026-000874·Saptagiri·p0.93 ₹61,792"
2026-09-27,148750219,87390011,61360208,4509386024,3814659163,4331543750,4844846001,1030186838,,"INV-2026-000679·Karman·p0.86 ₹152,731 | INV-2026-000689·Karman·p0.86 ₹96,015 | INV-2026-000730·Karman·p0.86 ₹83,605"
2026-09-28,305249066,190385366,114863700,4624249724,3872364854,4412019361,4904133961,1031769107,,"INV-2026-000679·Karman·p0.86 ₹222,078 | INV-2026-000689·Karman·p0.86 ₹139,611 | INV-2026-000783·Karman·p0.86 ₹137,976"
2026-09-29,139866400,85104954,54761446,4679011170,3941395049,4469177284,4985347097,1043952048,,"INV-2026-000679·Karman·p0.86 ₹91,599 | INV-2026-000783·Karman·p0.86 ₹73,237 | INV-2026-000730·Karman·p0.86 ₹63,738"
2026-09-30,229698390,144180023,85518367,4764529537,3986495003,4519640863,5045855913,1059360910,,"INV-2026-000783·Karman·p0.86 ₹144,812 | INV-2026-000679·Karman·p0.86 ₹141,089 | INV-2026-000730·Karman·p0.86 ₹110,714"
2026-10-01,175684679,116646692,59037987,4823567524,4032379762,4567226786,5092414909,1060035147,,"INV-2026-000783·Karman·p0.86 ₹134,991 | INV-2026-000679·Karman·p0.86 ₹102,864 | INV-2026-000730·Karman·p0.86 ₹91,038"
2026-10-02,142089485,91928153,50161332,4873728856,4091984758,4603242741,5123946116,1031961358,,"INV-2026-000783·Karman·p0.86 ₹120,000 | INV-2026-000679·Karman·p0.86 ₹71,613 | INV-2026-000730·Karman·p0.86 ₹71,565"
2026-10-03,120776170,80102925,40673245,4914402101,4108085333,4638820873,5160946990,1052861657,,"INV-2026-000783·Karman·p0.86 ₹116,215 | INV-2026-000730·Karman·p0.86 ₹61,386 | INV-2026-000679·Karman·p0.86 ₹54,419"
2026-10-04,101649867,75255834,26394033,4940796134,4134569783,4680902660,5188117141,1053547358,,"INV-2026-000783·Karman·p0.86 ₹174,691 | INV-2026-000730·Karman·p0.86 ₹81,810 | RT-2026-000796·Shree·p0.90 ₹75,483"
2026-10-05,230606109,166681666,63924443,5004720577,4168954839,4696346563,5225528163,1056573324,,"INV-2026-000783·Karman·p0.86 ₹286,392 | RT-2026-000796·Shree·p0.90 ₹119,234 | INV-2026-000730·Karman·p0.86 ₹118,955"
