kind,party_code,median_delay_days,p_paid,observations,share_uncleared
AP,VEND-001,8,0.9762,40,0.13
AP,VEND-003,1,0.9714,33,0.312
AP,VEND-007,10,0.9355,28,0.2
AP,VEND-006,4,0.9667,28,0.349
AP,VEND-005,2,0.9667,28,0.2
AP,VEND-008,1,0.9286,25,0.419
AP,VEND-009,0,0.92,22,0.5
AP,VEND-010,5,0.9545,20,0.375
AP,VEND-002,-2,0.95,18,0.514
AP,VEND-004,0,0.9,17,0.5
AP,RECUR-SALARY,0,0.8571,5,0.0
AP,RECUR-RENT,0,0.8571,5,0.0
AP,RECUR-EMI,0,0.7143,4,0.2
AP,RECUR-GST,0,0.6667,1,0.0
AR,CUST-004,4,0.9545,41,0.128
AR,CUST-005,10,0.975,38,0.095
AR,CUST-002,2,0.8108,29,0.31
AR,CUST-010,3,0.9355,28,0.125
AR,CUST-009,7,0.9333,27,0.25
AR,CUST-011,-5,0.9231,23,0.303
AR,CUST-007,11,0.8571,23,0.324
AR,CUST-012,6,0.8889,23,0.281
AR,CUST-003,1,0.9565,21,0.382
AR,CUST-014,4,0.9167,21,0.543
AR,CUST-006,-1,0.9545,20,0.259
AR,CUST-008,5,0.95,18,0.538
AR,CUST-001,1,0.8889,15,0.559
AR,CUST-013,3,0.8571,11,0.56
