settlement_id,settled_on,gross_paise,credited_paise,expected_net_paise,recoverable_paise,fee_overbill_paise,gst_tds_overbill_paise,unexplained_deduction_paise,undercredited_paise,recovery_rate_pct,planted_paise,flags
setl_00000087,2026-08-08,14519500,13963535,14209460,491850,0,0,245925,245925,98.27,245925,BATCH_ARITHMETIC
setl_00000035,2026-06-15,10022800,9581074,9800098,438048,0,0,219024,219024,97.77,219024,BATCH_ARITHMETIC
setl_00000050,2026-06-29,4702600,4388485,4593065,409160,0,0,204580,204580,95.55,204580,BATCH_ARITHMETIC
setl_00000090,2026-08-12,9189100,8787837,8972019,368364,0,0,184182,184182,97.95,184182,BATCH_ARITHMETIC
setl_00000086,2026-08-07,14337500,13934865,14014323,158916,0,0,79458,79458,99.43,79458,BATCH_ARITHMETIC
setl_00000108,2026-09-02,16845700,16144008,16204272,120528,0,0,60264,60264,99.63,60264,BATCH_ARITHMETIC
setl_00000091,2026-08-13,12904400,12080089,12126933,93688,0,0,46844,46844,99.61,46844,BATCH_ARITHMETIC
setl_00000009,2026-05-18,11687400,11257668,11293987,72638,0,0,36319,36319,99.68,36319,BATCH_ARITHMETIC
setl_00000065,2026-07-16,12182400,11219843,11255213,70740,0,0,35370,35370,99.69,35370,BATCH_ARITHMETIC
setl_00000038,2026-06-17,14978700,14051155,14086255,70200,0,0,35100,35100,99.75,35100,BATCH_ARITHMETIC
setl_00000019,2026-05-29,10803400,10102823,10134853,64060,0,0,32030,32030,99.68,32030,BATCH_ARITHMETIC
setl_00000013,2026-05-23,9594700,9338318,9370021,63406,0,0,31703,31703,99.66,31703,BATCH_ARITHMETIC
setl_00000049,2026-06-29,17174400,16355364,16386823,62918,0,0,31459,31459,99.81,31459,BATCH_ARITHMETIC
setl_00000045,2026-06-24,8150100,7901540,7932759,62438,0,0,31219,31219,99.61,31219,BATCH_ARITHMETIC
setl_00000080,2026-07-31,11454100,10804684,10835615,61862,0,0,30931,30931,99.71,30931,BATCH_ARITHMETIC
setl_00000097,2026-08-20,7830200,6810644,6837739,54190,0,0,27095,27095,99.6,27095,BATCH_ARITHMETIC
setl_00000099,2026-08-22,8631000,8418811,8444173,50724,0,0,25362,25362,99.7,25362,BATCH_ARITHMETIC
setl_00000008,2026-05-18,10849000,10130701,10155562,49722,0,0,24861,24861,99.76,24861,BATCH_ARITHMETIC
setl_00000110,2026-09-04,7212300,7027682,7049852,44340,0,0,22170,22170,99.69,22170,BATCH_ARITHMETIC
setl_00000028,2026-06-08,16315900,15506700,15526033,38666,0,0,19333,19333,99.88,19333,BATCH_ARITHMETIC
setl_00000056,2026-07-06,15138200,14463596,14480323,33454,0,0,16727,16727,99.88,16727,BATCH_ARITHMETIC
setl_00000032,2026-06-11,11562000,10944816,10956428,23224,0,0,11612,11612,99.89,11612,BATCH_ARITHMETIC
setl_00000076,2026-07-27,3283000,3199341,3210865,23048,0,0,11524,11524,99.64,11524,BATCH_ARITHMETIC
setl_00000106,2026-08-31,14345100,14000649,14017575,16926,14104,2822,0,16926,99.88,14104,FEE_TIER_MISMATCH;FEE_COMPONENT_MISMATCH
setl_00000029,2026-06-08,3278900,3193995,3202351,16712,0,0,8356,8356,99.74,8356,BATCH_ARITHMETIC
setl_00000095,2026-08-17,6000600,5702253,5708636,12766,0,0,6383,6383,99.89,6383,BATCH_ARITHMETIC
setl_00000016,2026-05-26,1244600,1216363,1218709,4692,0,0,2346,2346,99.81,2346,BATCH_ARITHMETIC
