settlement_id,settled_on,bank_line_id,txn_count,gross_paise,declared_fee_paise,expected_fee_paise,fee_diff_paise,refund_paise,declared_net_paise,expected_net_paise,credited_paise,credit_gap_paise,unexplained_deduction_paise,overbilled_paise,component_overbill_paise,undercredited_paise,recoverable_paise,recovery_rate_pct,flags
setl_00000001,2026-05-11,BL-000005,35,10659400,199236,199236,0,861838,9558355,9558355,9558355,0,0,0,0,0,0,100.0,
setl_00000002,2026-05-11,BL-000004,22,6279200,114952,114952,0,0,6141185,6141185,6141185,0,0,0,0,0,0,100.0,
setl_00000003,2026-05-12,BL-000006,6,2184600,37797,37797,0,0,2139220,2139220,2139220,0,0,0,0,0,0,100.0,
setl_00000004,2026-05-13,BL-000007,28,7559800,137886,137886,0,94857,7299393,7299393,7299393,0,0,0,0,0,0,100.0,
setl_00000005,2026-05-14,BL-000008,33,9093900,151172,151172,0,0,8912388,8912388,8912388,0,0,0,0,0,0,100.0,
setl_00000006,2026-05-15,BL-000009,37,10595000,194317,194317,0,741549,9620148,9620148,9620148,0,0,0,0,0,0,100.0,
setl_00000007,2026-05-16,BL-000010,43,11880300,218677,218677,0,560901,11056848,11056848,11056848,0,0,0,0,0,0,100.0,
setl_00000008,2026-05-18,BL-000011,45,10849000,209651,209651,0,441730,10130701,10155562,10130701,0,24861,0,0,24861,49722,99.76,BATCH_ARITHMETIC
setl_00000009,2026-05-18,BL-000012,34,11687400,227696,227696,0,120042,11257668,11293987,11257668,0,36319,0,0,36319,72638,99.68,BATCH_ARITHMETIC
setl_00000010,2026-05-20,BL-000014,56,15948400,274523,274523,0,96752,15522034,15522034,15522034,0,0,0,0,0,0,100.0,
setl_00000011,2026-05-21,BL-000018,55,17408700,328784,328784,0,632201,16381754,16381754,16381754,0,0,0,0,0,0,100.0,
setl_00000012,2026-05-22,BL-000020,35,10785500,198224,198224,0,254685,10292821,10292821,10292821,0,0,0,0,0,0,100.0,
setl_00000013,2026-05-23,BL-000021,33,9594700,187140,187140,0,0,9338318,9370021,9338318,0,31703,0,0,31703,63406,99.66,BATCH_ARITHMETIC
setl_00000014,2026-05-25,BL-000024,52,13972700,268429,268429,0,913629,12736793,12736793,12736793,0,0,0,0,0,0,100.0,
setl_00000015,2026-05-25,BL-000023,9,2418500,43677,43677,0,0,2366060,2366060,2366060,0,0,0,0,0,0,100.0,
setl_00000016,2026-05-26,BL-000026,6,1244600,21565,21565,0,0,1216363,1218709,1216363,0,2346,0,0,2346,4692,99.81,BATCH_ARITHMETIC
setl_00000017,2026-05-27,BL-000029,42,11576600,216322,216322,0,0,11316879,11316879,11316879,0,0,0,0,0,0,100.0,
setl_00000018,2026-05-28,BL-000032,49,14639200,275750,275750,0,949164,13358964,13358964,13358964,0,0,0,0,0,0,100.0,
setl_00000019,2026-05-29,BL-000034,36,10803400,201086,201086,0,427118,10102823,10134853,10102823,0,32030,0,0,32030,64060,99.68,BATCH_ARITHMETIC
setl_00000020,2026-05-30,BL-000036,36,10415100,194190,194190,0,0,10181951,10181951,10181951,0,0,0,0,0,0,100.0,
setl_00000021,2026-06-01,BL-000043,50,13293800,243568,243568,0,0,13001363,13001363,13001363,0,0,0,0,0,0,100.0,
setl_00000022,2026-06-01,BL-000039,4,1166100,23322,23322,0,78950,1059152,1059152,1059152,0,0,0,0,0,0,100.0,
setl_00000023,2026-06-02,BL-000050,18,5521900,98067,98067,0,35090,5369066,5369066,5369066,0,0,0,0,0,0,100.0,
setl_00000024,2026-06-03,BL-000052,40,11342600,214472,214472,0,90693,10994408,10994408,10994408,0,0,0,0,0,0,100.0,
setl_00000025,2026-06-04,BL-000057,48,14010900,257462,257462,0,52839,13648942,13648942,13648942,0,0,0,0,0,0,100.0,
setl_00000026,2026-06-05,BL-000064,33,10810600,200005,200005,0,0,10570467,10570467,10570467,0,0,0,0,0,0,100.0,
setl_00000027,2026-06-06,BL-000067,37,10768500,207458,207458,0,0,10519425,10519425,10519425,0,0,0,0,0,0,100.0,
setl_00000028,2026-06-08,BL-000075,54,16315900,309222,309222,0,418609,15506700,15526033,15506700,0,19333,0,0,19333,38666,99.88,BATCH_ARITHMETIC
setl_00000029,2026-06-08,BL-000072,11,3278900,63760,63760,0,0,3193995,3202351,3193995,0,8356,0,0,8356,16712,99.74,BATCH_ARITHMETIC
setl_00000030,2026-06-09,BL-000079,10,3838700,72140,72140,0,622431,3129657,3129657,3129657,0,0,0,0,0,0,100.0,
setl_00000031,2026-06-10,BL-000084,42,10408200,187310,187310,0,134513,10048793,10048793,10048793,0,0,0,0,0,0,100.0,
setl_00000032,2026-06-11,BL-000090,37,11562000,229595,229595,0,329924,10944816,10956428,10944816,0,11612,0,0,11612,23224,99.89,BATCH_ARITHMETIC
setl_00000033,2026-06-12,BL-000095,32,8863300,167371,167371,0,121301,8541051,8541051,8541051,0,0,0,0,0,0,100.0,
setl_00000034,2026-06-13,BL-000099,20,4891200,85003,85003,0,0,4789140,4789140,4789140,0,0,0,0,0,0,100.0,
setl_00000035,2026-06-15,BL-000108,37,10022800,185488,185488,0,0,9581074,9800098,9581074,0,219024,0,0,219024,438048,97.77,BATCH_ARITHMETIC
setl_00000036,2026-06-15,BL-000107,12,3429000,59658,59658,0,0,3357371,3357371,3357371,0,0,0,0,0,0,100.0,
setl_00000037,2026-06-16,BL-000111,3,879100,17582,17582,0,0,857993,857993,857993,0,0,0,0,0,0,100.0,
setl_00000038,2026-06-17,BL-000115,53,14978700,275841,275841,0,561261,14051155,14086255,14051155,0,35100,0,0,35100,70200,99.75,BATCH_ARITHMETIC
setl_00000039,2026-06-18,BL-000120,34,10671000,186711,186711,0,280969,10165853,10165853,10165853,0,0,0,0,0,0,100.0,
setl_00000040,2026-06-19,BL-000127,30,7912200,148705,148705,0,0,7733661,7733661,7733661,0,0,0,0,0,0,100.0,
setl_00000041,2026-06-20,BL-000137,35,9471200,170086,170086,0,0,9266987,9266987,9266987,0,0,0,0,0,0,100.0,
setl_00000042,2026-06-22,BL-000144,46,14787300,266389,266389,0,26041,14441420,14441420,14441420,0,0,0,0,0,0,100.0,
setl_00000043,2026-06-22,BL-000142,13,3319500,65675,65675,0,0,3240652,3240652,3240652,0,0,0,0,0,0,100.0,
setl_00000044,2026-06-23,BL-000152,22,5620700,105062,105062,0,65368,5429192,5429192,5429192,0,0,0,0,0,0,100.0,
setl_00000045,2026-06-24,BL-000155,31,8150100,146992,146992,0,40856,7901540,7932759,7901540,0,31219,0,0,31219,62438,99.61,BATCH_ARITHMETIC
setl_00000046,2026-06-25,BL-000162,51,14138000,276001,276001,0,399949,13406684,13406684,13406684,0,0,0,0,0,0,100.0,
setl_00000047,2026-06-26,BL-000172,44,13717200,244583,244583,0,0,13423540,13423540,13423540,0,0,0,0,0,0,100.0,
setl_00000048,2026-06-27,BL-000176,44,10814500,211844,211844,0,657089,9903072,9903072,9903072,0,0,0,0,0,0,100.0,
setl_00000049,2026-06-29,BL-000190,59,17174400,326549,326549,0,395518,16355364,16386823,16355364,0,31459,0,0,31459,62918,99.81,BATCH_ARITHMETIC
setl_00000050,2026-06-29,BL-000186,16,4702600,91234,91234,0,0,4388485,4593065,4388485,0,204580,0,0,204580,409160,95.55,BATCH_ARITHMETIC
setl_00000051,2026-06-30,BL-000198,15,4087300,79583,79583,0,75418,3916336,3916336,3916336,0,0,0,0,0,0,100.0,
setl_00000052,2026-07-01,BL-000202,50,14360800,267876,267876,0,563724,13475457,13475457,13475457,0,0,0,0,0,0,100.0,
setl_00000053,2026-07-02,BL-000208,63,16346600,306618,306618,0,418273,15560194,15560194,15560194,0,0,0,0,0,0,100.0,
