line_id,why,claimed,truth_docs,amount_paise,txn_date,narration
BL-000125,partial_set,['AR-INV-2026-000067'],"['AR-INV-2026-000067', 'AR-INV-2026-000103', 'AR-INV-2026-000120']",50280700,2026-06-18,"UPI/HDFC0001234/333328504733/INV-2026-000067,INV-2026-000103,INV-2026-000120/hirahar@ybl/H"
BL-000132,no_match,,['AP-VB-2026-000091'],-36984900,2026-06-20,UPI/HDFC0001234/582319438841/adissol@okaxis/ADISHAKTI SOLAR EPC COMPANY
BL-000140,no_match,,['AP-RT-2026-000090'],-62811200,2026-06-22,RTGS SBIN0000921 900000010092 SHREE BALAJI ELECTRICALS COMPANY INR 628112.00 advance RT-20
BL-000157,partial_set,['AR-INV-2026-000236'],"['AR-INV-2026-000236', 'AR-INV-2026-000249', 'AR-INV-2026-000252']",63660600,2026-06-24,"UPI/HDFC0001234/952362474639/INV-2026-000236,INV-2026-000249,INV-2026-000252/hirahar@ybl/H"
BL-000213,no_match,,['AP-EMI-202607-0'],-118392800,2026-07-03,NEFT DR ICIC0000429 900000035667 FROM STATE BANK EQUIP LOAN  advance INR 1183928.00
BL-000277,no_match,,['AP-RT-2026-000290'],-43102800,2026-07-13,NEFT DR ICIC0000429 900000018939 FROM NALANDA RECYCLERS PVT LTD invoice settlement INR 431
BL-000372,partial_set,['AR-INV-2026-000354'],"['AR-INV-2026-000354', 'AR-INV-2026-000405', 'AR-INV-2026-000417']",67841100,2026-07-22,"UPI/HDFC0001234/780653100517/INV-2026-000354,INV-2026-000405,INV-2026-000417/hirahar@okhdf"
BL-000454,no_match,,['AP-VB-2026-000358'],-32425500,2026-08-01,NEFT DR SBIN0000921 900000021892 FROM VAISHNAVI LOGISTICS PVT LTD full and final INR 32425
BL-000471,wrong_document,['AP-RT-2026-000482'],['AP-VB-2026-000442'],-15473900,2026-08-03,UPI/HDFC0001234/610044769070/adissol@okhdfcbank/ADISBAKTI SOLAR EPC COMPANY
BL-000473,no_match,,['AP-VB-2026-000176'],-3384300,2026-08-03,NEFT DR UTIB0002233 900000014467 FROM MERIWAT TREATMENT invoice settlement INR 33843.00
BL-000495,no_match,,['AR-INV-2026-000363'],23597700,2026-08-05,NEFT CR SBIN0000921 900000022066 FROM KARMAN PRINT SOLUTIONS P invoice settlement INR 2359
BL-000649,no_match,,['AP-VB-2026-000641'],-19371000,2026-08-25,NEFT DR KKBK0000812 900000033116 FROM NALAREC RECY material supply INR 193710.00
BL-000659,no_match,,['AR-INV-2026-000609'],54502000,2026-08-26,NEFT CR ICIC0000429 900000032202 FROM TANSH MACHINE PARTS LTD part payment INR 545020.00
BL-000671,no_match,,['AP-RT-2026-000396'],-10268900,2026-08-28,NEFT DR ICIC0000429 900000023424 FROM RAMAN DEEP HARDWARE PV security deposit INR 102689.0
BL-000735,partial_set,['AR-INV-2026-000701'],"['AR-INV-2026-000701', 'AR-INV-2026-000708', 'AR-INV-2026-000740']",48408300,2026-09-05,"INV-2026-000701,INV-2026-000708,INV-2026-000740 NEFT CR ICIC0000429 900000036372 FROM SHRE"
