ref_id,ref_type,code,severity,amount_paise,detail,candidates,suggested_action,engine,llm_category,llm_action,txn_date,narration,amount,triage_category,triage_owner,triage_action,triage_confidence,llm_status,question_to_ask,group_key
BL-000198,bank_line,DUPLICATE_BANK_LINE,high,-27933700,UTR 900000014981 and amount already posted on line BL-000197. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-000197,verify_with_bank_then_de_dup,deterministic,,,2026-04-24,UPI/HDFC0001234/509827399437/merihar@okhdfcbank/MERIDIAN HARDWARE NOI,"-₹2,79,337.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-000208,bank_line,DUPLICATE_BANK_LINE,high,82986100,UTR 900000027311 and amount already posted on line BL-000207. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-000207,verify_with_bank_then_de_dup,deterministic,,,2026-04-24,NEFT CR UTIB0002233 900000027311 FROM PUSHPA METALS AGRI INPUTS PVT LTD full and final INR,"₹8,29,861.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-000263,bank_line,DUPLICATE_BANK_LINE,high,-63555200,UTR 900000009337 and amount already posted on line BL-000262. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-000262,verify_with_bank_then_de_dup,deterministic,,,2026-05-01,VB-2026-000013 NEFT DR KKBK0000812 900000009337 FROM ZENITH ONE TEXTILES NAG amc renewal I,"-₹6,35,552.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-000294,bank_line,DUPLICATE_BANK_LINE,high,40530400,UTR 900000029492 and amount already posted on line BL-000293. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-000293,verify_with_bank_then_de_dup,deterministic,,,2026-05-04,CHQ CLG VEDIKA TEXTILES CIMPANY INV-2026-000465,"₹4,05,304.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-000300,bank_line,DUPLICATE_BANK_LINE,high,168554400,UTR 900000016537 and amount already posted on line BL-000299. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-000299,verify_with_bank_then_de_dup,deterministic,,,2026-05-04,INV-2026-000175 NEFT CR HDFC0001234 900000016537 FROM COPPERLEAF ELECTRI amc renewal INR 1,"₹16,85,544.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-000399,bank_line,DUPLICATE_BANK_LINE,high,-25087300,UTR 900000018739 and amount already posted on line BL-000398. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-000398,verify_with_bank_then_de_dup,deterministic,,,2026-05-14,UPI/HDFC0001234/241330007632/ashwmac@paytm/ASHWINI MACHINE PARTS LTD/VB-2026-000225,"-₹2,50,873.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-000462,bank_line,DUPLICATE_BANK_LINE,high,31030000,UTR 900000034455 and amount already posted on line BL-000461. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-000461,verify_with_bank_then_de_dup,deterministic,,,2026-05-18,UPI/HDFC0001234/434309476899/INV-2026-000572/merilab@ybl/MEBIDIAN LAB SUPPLIES NAG,"₹3,10,300.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-000491,bank_line,DUPLICATE_BANK_LINE,high,-66461600,UTR 900000031025 and amount already posted on line BL-000490. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-000490,verify_with_bank_then_de_dup,deterministic,,,2026-05-21,NEFT DR SBIN0000921 900000031025 FROM MERIDIAN POLYMERS LTD against inv INR 664616.00 VB-2,"-₹6,64,616.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-000565,bank_line,DUPLICATE_BANK_LINE,high,-24237200,UTR 900000025189 and amount already posted on line BL-000564. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-000564,verify_with_bank_then_de_dup,deterministic,,,2026-05-27,UPI/HDFC0001234/759326157535/RT-2026-000371/bluecol@ybl/BLUEPEAK COLD C,"-₹2,42,372.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-000598,bank_line,DUPLICATE_BANK_LINE,high,-40930000,UTR 900000026361 and amount already posted on line BL-000597. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-000597,verify_with_bank_then_de_dup,deterministic,,,2026-05-30,UPI/HDFC0001234/798872350912/eversta@okhdfcbank/EVERSTA STAFFING,"-₹4,09,300.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
