day,expected_in_paise,expected_out_paise,expected_net_paise,closing_paise,closing_p10_paise,closing_p50_paise,closing_p90_paise,band_width_paise,below_operating_minimum,top_drivers
2026-09-06,274807248,88359641,186447607,2386447607,2182523010,2353694300,2617681830,435158820,,"INV-2026-001481·Ashwini·p0.88 ₹165,310 | INV-2026-001803·Goldcrest·p0.94 ₹149,450 | INV-2026-001756·Nalanda·p0.95 ₹116,872"
2026-09-07,557279065,209828350,347450715,2733898322,2287704162,2564703446,2940274722,652570560,,"INV-2026-001481·Ashwini·p0.88 ₹287,735 | INV-2026-001803·Goldcrest·p0.94 ₹240,301 | INV-2026-001868·Goldcrest·p0.94 ₹178,208"
2026-09-08,329486036,122805983,206680053,2940578375,2434487580,2779130572,3261780158,827292578,,"INV-2026-001481·Ashwini·p0.88 ₹178,279 | INV-2026-001803·Goldcrest·p0.94 ₹135,278 | INV-2026-001868·Goldcrest·p0.94 ₹116,892"
2026-09-09,341461280,126623186,214838094,3155416469,2592917971,3001080500,3552872893,959954922,,"INV-2026-001481·Ashwini·p0.88 ₹192,070 | INV-2026-001868·Goldcrest·p0.94 ₹131,732 | INV-2026-001803·Goldcrest·p0.94 ₹130,128"
2026-09-10,303392842,116223655,187169187,3342585656,2742741953,3236273462,3820755792,1078013839,,"INV-2026-001481·Ashwini·p0.88 ₹182,005 | INV-2026-001868·Goldcrest·p0.94 ₹128,889 | INV-2026-001803·Goldcrest·p0.94 ₹108,300"
2026-09-11,391384193,154237235,237146958,3579732614,2930444566,3452331100,4091018336,1160573770,,"INV-2026-001481·Ashwini·p0.88 ₹246,007 | INV-2026-001868·Goldcrest·p0.94 ₹177,556 | INV-2026-001803·Goldcrest·p0.94 ₹126,851"
2026-09-12,385576335,156333479,229242856,3808975470,3096564169,3679500252,4357779522,1261215353,,"INV-2026-001481·Ashwini·p0.88 ₹250,893 | INV-2026-001868·Goldcrest·p0.94 ₹182,002 | INV-2026-001803·Goldcrest·p0.94 ₹110,763"
2026-09-13,342436177,131019963,211416214,4020391684,3282733983,3897688407,4622471965,1339737982,,"INV-2026-001481·Ashwini·p0.88 ₹273,934 | INV-2026-001868·Goldcrest·p0.94 ₹197,171 | INV-2026-001803·Goldcrest·p0.94 ₹102,732"
2026-09-14,646089354,279717558,366371796,4386763480,3474403032,4143932203,4843853736,1369450704,,"INV-2026-001481·Ashwini·p0.88 ₹437,342 | INV-2026-001868·Goldcrest·p0.94 ₹308,599 | INV-2026-001803·Goldcrest·p0.94 ₹138,754"
2026-09-15,369489356,163122402,206366954,4593130434,3664069222,4362948983,5078515351,1414446129,,"INV-2026-001481·Ashwini·p0.88 ₹247,250 | INV-2026-001868·Goldcrest·p0.94 ₹168,925 | INV-2026-001989·Goldcrest·p0.94 ₹93,144"
2026-09-16,370938837,166405645,204533192,4797663626,3871388631,4577434131,5303921899,1432533268,,"INV-2026-001481·Ashwini·p0.88 ₹241,712 | INV-2026-001868·Goldcrest·p0.94 ₹158,142 | INV-2026-001989·Goldcrest·p0.94 ₹111,657"
2026-09-17,320485580,150105499,170380081,4968043707,4046354245,4770371612,5539927495,1493573250,,"INV-2026-001481·Ashwini·p0.88 ₹206,644 | INV-2026-001868·Goldcrest·p0.94 ₹128,211 | INV-2026-001989·Goldcrest·p0.94 ₹116,801"
2026-09-18,402333836,194452276,207881560,5175925267,4236515504,4968690012,5715585172,1479069668,,"INV-2026-001481·Ashwini·p0.88 ₹251,018 | INV-2026-001989·Goldcrest·p0.94 ₹172,918 | INV-2026-001868·Goldcrest·p0.94 ₹146,511"
2026-09-19,386313453,191250498,195062955,5370988222,4411352104,5157200123,5916056909,1504704805,,"INV-2026-001481·Ashwini·p0.88 ₹229,137 | INV-2026-001989·Goldcrest·p0.94 ₹191,247 | INV-2026-001868·Goldcrest·p0.94 ₹125,108"
2026-09-20,333689800,162207685,171482115,5542470337,4567012603,5344829855,6110115167,1543102564,,"INV-2026-001989·Goldcrest·p0.94 ₹224,366 | INV-2026-001481·Ashwini·p0.88 ₹223,507 | INV-2026-001868·Goldcrest·p0.94 ₹113,850"
2026-09-21,618362217,317696209,300666008,5843136345,4743485178,5525292421,6300028617,1556543439,,"INV-2026-001989·Goldcrest·p0.94 ₹380,734 | INV-2026-001481·Ashwini·p0.88 ₹318,665 | INV-2026-001753·Suryavansh·p0.88 ₹159,839"
