kind,party_code,median_delay_days,p_paid,observations,share_uncleared
AP,VEND-004,1,0.9773,42,0.067
AP,VEND-007,9,0.9762,40,0.111
AP,VEND-019,7,0.95,37,0.075
AP,VEND-018,2,0.9231,35,0.271
AP,VEND-001,4,0.9722,34,0.105
AP,VEND-017,4,0.9722,34,0.292
AP,VEND-008,5,0.9444,33,0.233
AP,VEND-006,0,0.9444,33,0.175
AP,VEND-016,7,0.9118,30,0.388
AP,VEND-003,-2,0.9118,30,0.268
AP,VEND-020,6,0.9091,29,0.341
AP,VEND-011,5,0.9375,29,0.237
AP,VEND-013,4,0.9677,29,0.237
AP,VEND-021,2,0.9677,29,0.275
AP,VEND-009,2,0.9667,28,0.034
AP,VEND-022,-1,0.9333,27,0.372
AP,VEND-015,3,0.9655,27,0.27
AP,VEND-005,6,0.9333,27,0.156
AP,VEND-012,0,0.9643,26,0.366
AP,VEND-010,5,0.9643,26,0.212
AP,VEND-014,0,0.963,25,0.39
AP,VEND-002,4,0.963,25,0.167
AP,RECUR-SALARY,0,0.8889,7,0.0
AP,RECUR-RENT,0,0.8889,7,0.0
AP,RECUR-EMI,0,0.8889,7,0.0
AP,RECUR-GST,0,0.75,2,0.0
AR,CUST-007,3,0.9545,41,0.128
AR,CUST-027,7,0.9512,38,0.208
AR,CUST-011,2,0.925,36,0.182
AR,CUST-012,7,0.9211,34,0.15
AR,CUST-019,-4,0.8462,32,0.289
AR,CUST-017,-3,0.9412,31,0.262
AR,CUST-023,5,0.9412,31,0.279
AR,CUST-029,9,0.9394,30,0.143
AR,CUST-021,-5,0.9394,30,0.412
AR,CUST-016,5,0.9375,29,0.194
AR,CUST-028,-5,0.9355,28,0.333
AR,CUST-005,5,0.8788,28,0.333
AR,CUST-010,-4,0.8485,27,0.206
AR,CUST-015,1,0.9032,27,0.156
AR,CUST-030,9,0.875,27,0.325
AR,CUST-009,6,0.9643,26,0.366
AR,CUST-013,3,0.9,26,0.316
AR,CUST-024,1,0.8125,25,0.432
AR,CUST-018,8,0.7647,25,0.265
AR,CUST-025,2,0.8621,24,0.172
AR,CUST-004,-5,0.9259,24,0.226
AR,CUST-026,7,0.8571,23,0.207
AR,CUST-022,6,0.8519,22,0.333
AR,CUST-014,6,0.8462,21,0.364
AR,CUST-002,-2,0.88,21,0.344
AR,CUST-008,13,0.88,21,0.475
AR,CUST-001,0,0.913,20,0.333
AR,CUST-020,6,0.8,19,0.424
AR,CUST-006,8,0.8182,17,0.414
AR,CUST-003,9,0.8235,13,0.5
