settlement_id,settled_on,gross_paise,credited_paise,expected_net_paise,recoverable_paise,fee_overbill_paise,gst_tds_overbill_paise,unexplained_deduction_paise,undercredited_paise,recovery_rate_pct,planted_paise,flags
setl_00000120,2026-07-13,14963800,13784553,14625110,1681114,0,0,840557,840557,94.25,840557,BATCH_ARITHMETIC
setl_00000004,2026-03-14,14900800,14243060,14597792,709464,0,0,354732,354732,97.57,354732,BATCH_ARITHMETIC
setl_00000071,2026-05-23,9299300,8760675,9080375,639400,0,0,319700,319700,96.48,319700,BATCH_ARITHMETIC
setl_00000105,2026-06-27,13702200,13258668,13385465,253594,0,0,126797,126797,99.05,126797,BATCH_ARITHMETIC
setl_00000002,2026-03-12,10758200,10433656,10519331,171350,0,0,85675,85675,99.19,85675,BATCH_ARITHMETIC
setl_00000102,2026-06-24,17885300,17353943,17411820,115754,0,0,57877,57877,99.67,57877,BATCH_ARITHMETIC
setl_00000078,2026-05-30,14506300,14145828,14188711,85766,0,0,42883,42883,99.7,42883,BATCH_ARITHMETIC
setl_00000010,2026-03-21,11856100,11364254,11397201,65894,0,0,32947,32947,99.71,32947,BATCH_ARITHMETIC
setl_00000112,2026-07-04,12486800,12144845,12166224,42758,0,0,21379,21379,99.82,21379,BATCH_ARITHMETIC
setl_00000138,2026-07-31,13125100,11995774,12016607,41666,0,0,20833,20833,99.83,20833,BATCH_ARITHMETIC
setl_00000165,2026-08-29,14981800,13254293,13294691,40398,33665,6733,0,40398,99.7,33665,FEE_TIER_MISMATCH;FEE_COMPONENT_MISMATCH
setl_00000143,2026-08-06,6025000,5686343,5706295,39904,0,0,19952,19952,99.65,19952,BATCH_ARITHMETIC
setl_00000088,2026-06-09,5172200,5040531,5058773,36484,0,0,18242,18242,99.64,18242,BATCH_ARITHMETIC
setl_00000116,2026-07-08,14800200,13653541,13680453,26912,22426,4486,0,26912,99.8,22426,FEE_TIER_MISMATCH;FEE_COMPONENT_MISMATCH
setl_00000084,2026-06-05,10688000,10422697,10435430,25466,0,0,12733,12733,99.88,12733,BATCH_ARITHMETIC
setl_00000092,2026-06-13,7057300,6887844,6907037,19193,15995,3198,0,19193,99.72,15995,FEE_TIER_MISMATCH;FEE_COMPONENT_MISMATCH
setl_00000131,2026-07-24,4259700,4148092,4157419,18654,0,0,9327,9327,99.78,9327,BATCH_ARITHMETIC
setl_00000005,2026-03-16,14802100,14332157,14349130,16973,14144,2829,0,16973,99.88,14144,FEE_TIER_MISMATCH;FEE_COMPONENT_MISMATCH
setl_00000151,2026-08-17,16027900,15643042,15659319,16277,13563,2714,0,16277,99.9,13563,FEE_TIER_MISMATCH;FEE_COMPONENT_MISMATCH
setl_00000164,2026-08-28,3589400,3504428,3511256,13656,0,0,6828,6828,99.81,6828,BATCH_ARITHMETIC
setl_00000137,2026-07-30,9625500,9394375,9407864,13489,11240,2249,0,13489,99.86,11240,FEE_TIER_MISMATCH;FEE_COMPONENT_MISMATCH
setl_00000107,2026-06-29,2264300,2209524,2215602,12156,0,0,6078,6078,99.73,6078,BATCH_ARITHMETIC
setl_00000150,2026-08-14,7148100,6791578,6800792,9214,7678,1536,0,9214,99.86,7678,FEE_TIER_MISMATCH;FEE_COMPONENT_MISMATCH
setl_00000047,2026-04-28,2210600,1577398,1581362,7928,0,0,3964,3964,99.75,3964,BATCH_ARITHMETIC
setl_00000060,2026-05-12,395200,384560,385712,2304,0,0,1152,1152,99.7,1152,BATCH_ARITHMETIC
setl_00000095,2026-06-16,493400,480729,481555,1652,0,0,826,826,99.83,826,BATCH_ARITHMETIC
