settlement_id,settled_on,bank_line_id,txn_count,gross_paise,declared_fee_paise,expected_fee_paise,fee_diff_paise,refund_paise,declared_net_paise,expected_net_paise,credited_paise,credit_gap_paise,unexplained_deduction_paise,overbilled_paise,component_overbill_paise,undercredited_paise,recoverable_paise,recovery_rate_pct,flags
setl_00000001,2026-03-11,BL-000004,47,12930000,235928,235928,0,143463,12503272,12503272,12503272,0,0,0,0,0,0,100.0,
setl_00000002,2026-03-12,BL-000005,42,10758200,198953,198953,0,0,10433656,10519331,10433656,0,85675,0,0,85675,171350,99.19,BATCH_ARITHMETIC
setl_00000003,2026-03-13,BL-000006,48,14821000,274260,274260,0,707298,13784416,13784416,13784416,0,0,0,0,0,0,100.0,
setl_00000004,2026-03-14,BL-000007,47,14900800,252361,252361,0,0,14243060,14597792,14243060,0,354732,0,0,354732,709464,97.57,BATCH_ARITHMETIC
setl_00000005,2026-03-16,BL-000009,52,14802100,296042,281898,14144,114519,14332157,14349130,14332157,0,0,14144,2829,16973,16973,99.88,FEE_TIER_MISMATCH;FEE_COMPONENT_MISMATCH
setl_00000006,2026-03-16,BL-000008,17,5248800,93266,93266,0,0,5136820,5136820,5136820,0,0,0,0,0,0,100.0,
setl_00000007,2026-03-18,BL-000013,43,11477600,209883,209883,0,33064,11192543,11192543,11192543,0,0,0,0,0,0,100.0,
setl_00000008,2026-03-19,BL-000014,55,16611100,292673,292673,0,1004065,15255632,15255632,15255632,0,0,0,0,0,0,100.0,
setl_00000009,2026-03-20,BL-000016,54,14365700,265930,265930,0,502910,13543506,13543506,13543506,0,0,0,0,0,0,100.0,
setl_00000010,2026-03-21,BL-000017,36,11856100,225248,225248,0,188464,11364254,11397201,11364254,0,32947,0,0,32947,65894,99.71,BATCH_ARITHMETIC
setl_00000011,2026-03-23,BL-000020,36,10513400,195464,195464,0,147714,10131006,10131006,10131006,0,0,0,0,0,0,100.0,
setl_00000012,2026-03-23,BL-000019,2,479700,6589,6589,0,0,471790,471790,471790,0,0,0,0,0,0,100.0,
setl_00000013,2026-03-24,BL-000021,7,1943800,27714,27714,0,82035,1828487,1828487,1828487,0,0,0,0,0,0,100.0,
setl_00000014,2026-03-25,BL-000023,45,13513100,228539,228539,0,0,13238695,13238695,13238695,0,0,0,0,0,0,100.0,
setl_00000015,2026-03-26,BL-000026,45,12667700,232476,232476,0,0,12388581,12388581,12388581,0,0,0,0,0,0,100.0,
setl_00000016,2026-03-27,BL-000028,57,16116900,289321,289321,0,147007,15622519,15622519,15622519,0,0,0,0,0,0,100.0,
setl_00000017,2026-03-28,BL-000031,68,21069600,394446,394446,0,260344,20335674,20335674,20335674,0,0,0,0,0,0,100.0,
setl_00000018,2026-03-30,BL-000035,80,24223700,420975,420975,0,122006,23596239,23596239,23596239,0,0,0,0,0,0,100.0,
setl_00000019,2026-03-30,BL-000034,31,9054800,168416,168416,0,0,8852595,8852595,8852595,0,0,0,0,0,0,100.0,
setl_00000020,2026-03-31,BL-000039,7,1713900,34278,34278,0,0,1672747,1672747,1672747,0,0,0,0,0,0,100.0,
setl_00000021,2026-04-01,BL-000044,63,17222200,315197,315197,0,78944,16764818,16764818,16764818,0,0,0,0,0,0,100.0,
setl_00000022,2026-04-02,BL-000046,58,16094100,305560,305560,0,628181,15099059,15099059,15099059,0,0,0,0,0,0,100.0,
setl_00000023,2026-04-03,BL-000050,55,17914100,320900,320900,0,524000,17004809,17004809,17004809,0,0,0,0,0,0,100.0,
