line_id,why,truth_docs,amount_paise,txn_date,narration,claimed
BL-000037,no_match,['AR-INV-2026-000185'],94120600,2026-03-30,NEFT CR HDFC0001234 900000017066 FROM GOLDCREST WAREHOUSING PRIVATE LIMITED full and final,
BL-000107,no_match,['AR-INV-2026-000324'],83565500,2026-04-11,NEFT CR SBIN0000921 900000023042 FROM ORBITEX PAPER MILLS PVT LTD advance INR 835655.00,
BL-000207,no_match,['AR-INV-2026-000423'],82986100,2026-04-24,NEFT CR UTIB0002233 900000027311 FROM PUSHPA METALS AGRI INPUTS PVT LTD full and final INR,
BL-000231,wrong_document,['AR-INV-2026-000427'],84610200,2026-04-27,NEFT CR KKBK0000812 900000027614 FROM PUSHPA METALS AGRI INPUTS KOC full and final INR 846,['AR-INV-2026-000423']
BL-000303,no_match,['AP-RT-2026-000268'],-63920500,2026-05-05,UPI/HDFC0001234/636249098836/pragcon@paytm/PRAGATI CONV,
BL-000393,no_match,['AR-INV-2026-000232'],51729800,2026-05-13,RTGS SBIN0000921 900000018990 SHREE BALAJI HARDIARE INR 517298.00 part payment INV-2026-00,
BL-000400,no_match,['AP-VB-2026-000193'],-14943100,2026-05-14,UPI/HDFC0001234/773443858908/eversta@paytm/EVERSTONE STAFFING & CO,
BL-000545,no_match,['AR-INV-2026-000527'],41374200,2026-05-25,UPI/HDFC0001234/604675279208/anancon@paytm/ANANT INFRA CONVEYANCES COMPANY,
BL-000593,no_match,['AR-INV-2026-000702'],51805700,2026-05-29,NEFT CR ICIC0000429 900000039840 FROM ASHWINI INTERIORS LTD amc renewal INR 518057.00 INV-,
BL-000712,no_match,['AP-VB-2026-000710'],-57479800,2026-06-10,UPI/HDFC0001234/820212317556/eversta@okhdfcbank/EVERSTONE STAFFING & CO,
BL-000743,no_match,['AP-VB-2026-000634'],-23524400,2026-06-13,UPI/HDFC0001234/442030737713/bluecol@okaxis/BLUECOL CH,
BL-000746,no_match,['AR-INV-2026-000757'],19793200,2026-06-13,NEFT CR HDFC0001234 900000041761 FROM SAHYADRI POLYMERS PVT LTD freight charges INR 197932,
BL-000795,no_match,['AP-VB-2026-000791'],-53225800,2026-06-19,NEFT DR ICIC0000429 900000043309 FROM TRINETRA AGRI INPUTS advance INR 532258.00,
BL-000806,no_match,['AP-RT-2026-000566'],-44314800,2026-06-20,NEFT DR SBIN0000921 900000034095 FROM TRINETRA SOLAR security deposit INR 443148.00,
BL-000817,no_match,['AP-VB-2026-000651'],-33265800,2026-06-22,UPI/HDFC0001234/859565451834/ashwmac@paytm/ASHWINI MACHINE PAR,
BL-000818,no_match,['AP-RT-2026-000374'],-25337600,2026-06-22,NEFT DR HDFC0001234 900000025367 FROM GOLDCREST STEEL TRADERS COMPANY security deposit INR,
BL-000856,no_match,['AP-RT-2026-000569'],-31043900,2026-06-25,NEFT DR KKBK0000812 900000034341 FROM GOLDCREST STEEL TRADERS COMPANY invoice settlement I,
BL-000866,no_match,['AR-INV-2026-001021'],149553100,2026-06-25,NEFT CR SBIN0000921 900000053617 FROM GOLDCREST STEEL TRA part payment INR 1495531.00 INV-,
BL-000882,partial_set,"['AR-INV-2026-000970', 'AR-INV-2026-000982', 'AR-INV-2026-001050']",221755800,2026-06-27,"UPI/HDFC0001234/463703849643/orbidai@okaxis/ORBITEX DAIRY FOODS PVT LTD/INV-2026-000970,IN",['AR-INV-2026-000982']
BL-000899,no_match,['AR-INV-2026-000647'],14007200,2026-06-29,NEFT CR HDFC0001234 900000037665 FROM GOLDCREST SECURITY SYSTEMS PRIVATE LIMITED milestone,
BL-000919,no_match,['AP-RT-2026-000709'],-121587900,2026-07-01,UPI/HDFC0001234/577224508323/ashwmac@paytm/ASHWINI MACHIN ,
BL-000949,no_match,['AR-INV-2026-000693'],38244400,2026-07-03,NEFT CR KKBK0000812 900000039568 FROM GOLDCREST SECURITY SYSTEMS & CO milestone 2 INR 3824,
BL-001022,no_match,['AP-RT-2026-001042'],-65824000,2026-07-10,NEFT DR UTIB0002233 900000054423 FROM TRINETRA AGRI INPUTS COMPANY against inv INR 658240.,
BL-001032,no_match,"['AR-INV-2026-001035', 'AR-INV-2026-001124', 'AR-INV-2026-001204']",124198800,2026-07-10,NEFT CR ICIC0000429 900000081040 FROM PUSHAGR INPUTS  material supply INR 1241988.00 INV-2,
BL-001059,no_match,['AR-INV-2026-000814'],55163300,2026-07-13,NEFT CR KKBK0000812 900000044302 FROM GOLDCREST SECURITY SYSTEMS & CO security deposit INR,
BL-001098,no_match,"['AR-INV-2026-001023', 'AR-INV-2026-001066', 'AR-INV-2026-001093']",143578600,2026-07-16,NEFT CR KKBK0000812 900000080961 FROM VEDIFAC MANAGEMENT part payment INR 1435786.00,
