line_id,txn_date,value_date,narration,utr,amount_in,amount_out,account
BL-000001,2026-05-01,2026-05-01,NEFT DR HDFC0001234 900000033498 FROM ACME INDUSTRIES PAYROLL against inv INR 3450000.00 S,900000033498,,3450000.00,HDFC-Current-4421
BL-000002,2026-05-04,2026-05-04,EMI-202605 NEFT DR KKBK0000812 900000033522 FROM STATE BANK EQUIP LOAN  milestone 2 INR 12,900000033522,,1250000.00,HDFC-Current-4421
BL-000003,2026-05-05,2026-05-05,RENT-202605 NEFT DR HDFC0001234 900000033516 FROM SKYLINE ESTATES PVT LTD  invoice settlem,900000033516,,780000.00,HDFC-Current-4421
BL-000004,2026-05-09,2026-05-09,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000001 UTR 900000000068,900000000068,107028.37,,HDFC-Current-4421
BL-000005,2026-05-11,2026-05-11,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000003 UTR 900000000159,900000000159,17856.69,,HDFC-Current-4421
BL-000006,2026-05-11,2026-05-11,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000002 UTR 900000000097,900000000097,141901.15,,HDFC-Current-4421
BL-000007,2026-05-12,2026-05-12,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000004 UTR 900000000232,900000000232,17440.16,,HDFC-Current-4421
BL-000008,2026-05-13,2026-05-13,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000005 UTR 900000000284,900000000284,103926.88,,HDFC-Current-4421
BL-000009,2026-05-14,2026-05-14,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000006 UTR 900000000356,900000000356,134566.03,,HDFC-Current-4421
BL-000010,2026-05-15,2026-05-15,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000007 UTR 900000000384,900000000384,137155.80,,HDFC-Current-4421
BL-000011,2026-05-16,2026-05-16,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000008 UTR 900000000477,900000000477,84314.35,,HDFC-Current-4421
BL-000012,2026-05-18,2026-05-18,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000010 UTR 900000000585,900000000585,13140.21,,HDFC-Current-4421
BL-000013,2026-05-18,2026-05-18,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000009 UTR 900000000560,900000000560,132079.13,,HDFC-Current-4421
BL-000014,2026-05-18,2026-05-18,UPI/HDFC0001234/867626195476/INV-2026-000002/ramacon@ybl/RAMAN DEEP CONVE,900000005655,1273834.00,,HDFC-Current-4421
BL-000015,2026-05-19,2026-05-19,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000011 UTR 900000000598,900000000598,27350.21,,HDFC-Current-4421
BL-000016,2026-05-20,2026-05-20,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000012 UTR 900000000619,900000000619,78575.55,,HDFC-Current-4421
BL-000017,2026-05-20,2026-05-20,NEFT CR ICIC0000429 900000007322 FROM SHREE BALAJI RECYCLERS KOC against inv INR 159068.00,900000007322,159068.00,,HDFC-Current-4421
BL-000018,2026-05-21,2026-05-21,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000013 UTR 900000000658,900000000658,125305.42,,HDFC-Current-4421
BL-000019,2026-05-22,2026-05-22,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000014 UTR 900000000693,900000000693,110917.10,,HDFC-Current-4421
BL-000020,2026-05-23,2026-05-23,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000015 UTR 900000000784,900000000784,125284.61,,HDFC-Current-4421
BL-000021,2026-05-25,2026-05-25,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000017 UTR 900000000880,900000000880,53897.99,,HDFC-Current-4421
BL-000022,2026-05-25,2026-05-25,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000016 UTR 900000000802,900000000802,151983.48,,HDFC-Current-4421
BL-000023,2026-05-25,2026-05-25,UPI/HDFC0001234/919736397003/zeniele@ybl/ZENITH ONE ELECTRICALS JAI/INV-2026-000084,900000009374,255975.00,,HDFC-Current-4421
BL-000024,2026-05-27,2026-05-27,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000018 UTR 900000000886,900000000886,89203.93,,HDFC-Current-4421
BL-000025,2026-05-27,2026-05-27,UPI/HDFC0001234/134158448798/INV-2026-000036/zeniele@okhdfcbank/ZENITH ONE ELECTRICALS COM,900000006924,328550.00,,HDFC-Current-4421
BL-000026,2026-05-28,2026-05-28,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000019 UTR 900000000966,900000000966,68487.42,,HDFC-Current-4421
BL-000027,2026-05-28,2026-05-28,UPI/HDFC0001234/636221896668/zeniele@paytm/ZENITH ONE ,900000010458,349008.00,,HDFC-Current-4421
BL-000028,2026-05-29,2026-05-29,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000020 UTR 900000001011,900000001011,121416.04,,HDFC-Current-4421
BL-000029,2026-05-30,2026-05-30,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000021 UTR 900000001022,900000001022,97419.27,,HDFC-Current-4421
BL-000030,2026-05-30,2026-05-30,INV-2026-000038 RTGS HDFC0001234 900000006988 VAISHNAVI TEXTILES LLP INR 1978625.00 freigh,900000006988,1978625.00,,HDFC-Current-4421
BL-000031,2026-06-01,2026-06-01,SALARY-202606 NEFT DR UTIB0002233 900000033552 FROM ACME INDUSTR full and final INR 345000,900000033552,,3450000.00,HDFC-Current-4421
BL-000032,2026-06-01,2026-06-01,CHQ CLG SAPTAGIRI MACHINE PART VB-2026-000071,900000008628,,264648.00,HDFC-Current-4421
BL-000033,2026-06-01,2026-06-01,NEFT DR SBIN0000921 900000006322 FROM NALANDA RECYCLERS LTD milestone 2 INR 216426.00,900000006322,,216426.00,HDFC-Current-4421
BL-000034,2026-06-01,2026-06-01,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000023 UTR 900000001114,900000001114,15223.10,,HDFC-Current-4421
BL-000035,2026-06-01,2026-06-01,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000022 UTR 900000001039,900000001039,105472.06,,HDFC-Current-4421
BL-000036,2026-06-01,2026-06-01,INV-2026-000059 NEFT CR SBIN0000921 900000008170 FROM TRIVIDATA WAREHOUSING LTD freight ch,900000008170,242684.00,,HDFC-Current-4421
BL-000037,2026-06-01,2026-06-01,UPI/HDFC0001234/767715532475/hirahar@okhdfcbank/HIRANYAKA HARDWARE PVT LTD/INV-2026-000025,900000006493,1191903.00,,HDFC-Current-4421
BL-000038,2026-06-01,2026-06-01,RTGS UTIB0002233 900000007414 VAISHNAVI TEXTILES LLP INR 1504132.00 advance,900000007414,1504132.00,,HDFC-Current-4421
BL-000039,2026-06-02,2026-06-02,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000024 UTR 900000001144,900000001144,40396.38,,HDFC-Current-4421
BL-000040,2026-06-02,2026-06-02,UPI/HDFC0001234/343149035377/INV-2026-000034/ramacon@ybl/RAMAN DEEP CONVEYANCES PRIVATE LI,900000006913,410593.00,,HDFC-Current-4421
BL-000041,2026-06-02,2026-06-02,RTGS HDFC0001234 900000006425 VAISHNAVI TEXTILES JAI INR 594906.00 full and final,900000006425,594906.00,,HDFC-Current-4421
BL-000042,2026-06-03,2026-06-03,NEFT DR HDFC0001234 900000033680 FROM STATE BANK EQUIP LOAN PVT LTD advance INR 1250000.00,900000033680,,1250000.00,HDFC-Current-4421
BL-000043,2026-06-03,2026-06-03,INV-2026-000001 NEFT CR UTIB0002233 900000005620 FROM TANSH MACHINE PARTS LTD against inv ,900000005620,137617.00,,HDFC-Current-4421
BL-000044,2026-06-03,2026-06-03,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000025 UTR 900000001153,900000001153,156352.37,,HDFC-Current-4421
BL-000045,2026-06-03,2026-06-03,UPI/HDFC0001234/904578169833/ramacon@okhdfcbank/RAMAN DEEP CONVEYANCES PRIVATE LIMITED,900000006049,303168.00,,HDFC-Current-4421
BL-000046,2026-06-03,2026-06-03,NEFT CR UTIB0002233 900000006582 FROM INDUSLOOM ROOFING PRODUCTS LLP material supply INR 8,900000006582,803183.00,,HDFC-Current-4421
BL-000047,2026-06-04,2026-06-04,NEFT DR KKBK0000812 900000008691 FROM RAMAN DEEP POLYMERS COMPANY security deposit INR 500,900000008691,,500091.00,HDFC-Current-4421
BL-000048,2026-06-04,2026-06-04,NEFT DR ICIC0000429 900000007669 FROM NALAREC RECYCLERS part payment INR 207459.00,900000007669,,207459.00,HDFC-Current-4421
BL-000049,2026-06-04,2026-06-04,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000026 UTR 900000001207,900000001207,144617.63,,HDFC-Current-4421
BL-000050,2026-06-05,2026-06-05,RENT-202606 NEFT DR ICIC0000429 900000033631 FROM SKYLINE ESTATES PVT LTD LTD freight char,900000033631,,780000.00,HDFC-Current-4421
BL-000051,2026-06-05,2026-06-05,NEFT DR UTIB0002233 900000006698 FROM RAMAN DEEP POLYMERS LLP freight charges INR 253103.0,900000006698,,253103.00,HDFC-Current-4421
BL-000052,2026-06-05,2026-06-05,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000027 UTR 900000001266,900000001266,98299.17,,HDFC-Current-4421
BL-000053,2026-06-05,2026-06-05,INV-2026-000003 NEFT CR SBIN0000921 900000005738 FROM INDUSLOOM ROOFING PRODUCTS PVT LTD m,900000005738,362844.00,,HDFC-Current-4421
BL-000054,2026-06-05,2026-06-05,NEFT CR UTIB0002233 900000006295 FROM EVERSTONE LOGISTICS LTD part payment INR 541008.00,900000006295,541008.00,,HDFC-Current-4421
BL-000055,2026-06-05,2026-06-05,NEFT CR SBIN0000921 900000008460 FROM SAPTAGIRI WATER TREATMENT PVT LTD full and final INR,900000008460,1142705.00,,HDFC-Current-4421
BL-000056,2026-06-06,2026-06-06,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000028 UTR 900000001342,900000001342,105286.72,,HDFC-Current-4421
BL-000057,2026-06-08,2026-06-08,UPI/HDFC0001234/614358224751/adissol@okhdfcbank/ADISHAKTI SOLAR EPC COMPANY,900000006146,,1113264.00,HDFC-Current-4421
BL-000058,2026-06-08,2026-06-08,UPI/HDFC0001234/968403798829/adissol@paytm/ADISHAKTI SO,900000006363,,445387.00,HDFC-Current-4421
BL-000059,2026-06-08,2026-06-08,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000030 UTR 900000001411,900000001411,42689.69,,HDFC-Current-4421
BL-000060,2026-06-08,2026-06-08,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000029 UTR 900000001376,900000001376,116917.55,,HDFC-Current-4421
BL-000061,2026-06-08,2026-06-08,UPI/HDFC0001234/616187588472/hirahar@paytm/HIRAHAR HARDWARE,900000010648,148586.00,,HDFC-Current-4421
BL-000062,2026-06-08,2026-06-08,UPI/HDFC0001234/407479710013/INV-2026-000042/hirahar@ybl/HIRANYAKA HARDWAR,900000007211,214927.00,,HDFC-Current-4421
BL-000063,2026-06-08,2026-06-08,UPI/HDFC0001234/693073923086/zeniele@ybl/ZENITH ONE ELECTRICALS/INV-2026-000177,900000013438,289474.00,,HDFC-Current-4421
BL-000064,2026-06-08,2026-06-08,NEFT CR UTIB0002233 900000005814 FROM TANSH MACH against inv INR 327825.00,900000005814,327825.00,,HDFC-Current-4421
BL-000065,2026-06-08,2026-06-08,NEFT CR ICIC0000429 900000008199 FROM SAPTAGIRI WATER TREATMENT LLP freight charges INR 76,900000008199,760358.00,,HDFC-Current-4421
BL-000066,2026-06-09,2026-06-09,NEFT DR UTIB0002233 900000009463 FROM KARMAN CONVEYANCES PVT LTD advance INR 564517.00 VB-,900000009463,,564517.00,HDFC-Current-4421
BL-000067,2026-06-09,2026-06-09,NEFT DR HDFC0001234 900000007742 FROM RAMAN DEEP POLYMERS COMPANY security deposit INR 147,900000007742,,147766.00,HDFC-Current-4421
BL-000068,2026-06-10,2026-06-10,NEFT DR KKBK0000812 900000006156 FROM VAISHNAVI LOGISTICS KOC amc renewal INR 890654.00 VB,900000006156,,890654.00,HDFC-Current-4421
BL-000069,2026-06-10,2026-06-10,UPI/HDFC0001234/134111000238/VB-2026-000016/adissol@ybl/ADISHAKTI SOLAR EPC COMPANY,900000006222,,249197.00,HDFC-Current-4421
BL-000070,2026-06-10,2026-06-10,NEFT DR ICIC0000429 900000006084 FROM MERIDIAN WATER TREATMENT JAI amc renewal INR 117025.,900000006084,,117025.00,HDFC-Current-4421
BL-000071,2026-06-10,2026-06-10,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000031 UTR 900000001437,900000001437,113384.20,,HDFC-Current-4421
BL-000072,2026-06-10,2026-06-10,UPI/HDFC0001234/553206929403/ramacon@ybl/RAMAN DEEP CONVEYANCES P/INV-2026-000005,900000005862,1071292.00,,HDFC-Current-4421
BL-000073,2026-06-11,2026-06-11,NEFT CR SBIN0000921 900000009656 FROM TRIVIDATA WAREHOUSING LTD advance INR 99158.00 INV-2,900000009656,99158.00,,HDFC-Current-4421
BL-000074,2026-06-11,2026-06-11,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000032 UTR 900000001498,900000001498,155571.56,,HDFC-Current-4421
BL-000075,2026-06-11,2026-06-11,NEFT CR UTIB0002233 900000010119 FROM SHREE BALAJI RECYCLERS COMPANY amc renewal INR 37900,900000010119,379005.00,,HDFC-Current-4421
BL-000076,2026-06-12,2026-06-12,UPI/HDFC0001234/840474836697/adissol@paytm/ADISHAKTI SOLAR EPC LTD/VB-2026-000031,900000006789,,255116.00,HDFC-Current-4421
BL-000077,2026-06-12,2026-06-12,RT-2026-000022 CHQ CLG SAPTAGIRI MACHINE PARTS & CO RT-2026-000022,900000006327,,120267.00,HDFC-Current-4421
BL-000078,2026-06-12,2026-06-12,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000033 UTR 900000001561,900000001561,73181.66,,HDFC-Current-4421
BL-000079,2026-06-12,2026-06-12,UPI/HDFC0001234/316172289250/INV-2026-000082/hirahar@okhdfcbank/HIRANYAKA HARDWARE PVT LTD,900000009326,298642.00,,HDFC-Current-4421
