document_id,document_no,counterparty,counterparty_code,document_date,due_date,gross_amount,gst_rate,gst_amount,net_amount,paid_amount,status,currency,notes
AP-RT-2026-000007,RT-2026-000007,Raman Deep Hardware Private Limited,VEND-002,2026-05-08,2026-07-07,173558.00,0.18,8678.00,173558.00,173558.00,paid,INR,purchase bill
AP-RT-2026-000008,RT-2026-000008,Meridian Water Treatment & Co,VEND-009,2026-05-08,2026-06-22,73343.00,0.18,13202.00,73343.00,73343.00,paid,INR,purchase bill
AP-RT-2026-000009,RT-2026-000009,Adishakti Solar EPC Company,VEND-008,2026-05-08,2026-06-08,350363.00,0.18,42044.00,350363.00,350363.00,paid,INR,purchase bill
AP-VB-2026-000010,VB-2026-000010,Raman Deep Hardware Private Limited,VEND-002,2026-05-08,2026-07-07,531194.00,0.18,95615.00,531194.00,531194.00,paid,INR,purchase bill
AP-RT-2026-000015,RT-2026-000015,Shree Balaji Electricals & Co,VEND-004,2026-05-09,2026-06-23,536496.00,0.18,96569.00,536496.00,536496.00,paid,INR,purchase bill
AP-RT-2026-000016,RT-2026-000016,Indusloom Warehousing & Co,VEND-010,2026-05-09,2026-06-23,156722.00,0.18,18807.00,156722.00,156722.00,paid,INR,purchase bill
AP-VB-2026-000023,VB-2026-000023,Nalanda Recyclers Ltd,VEND-007,2026-05-11,2026-05-26,216426.00,0.18,38957.00,216426.00,216426.00,paid,INR,purchase bill
AP-VB-2026-000027,VB-2026-000027,Nalanda Recyclers Ltd,VEND-007,2026-05-12,2026-05-27,84634.00,0.18,15234.00,84634.00,83039.00,partial,INR,purchase bill short deduction
AP-RT-2026-000028,RT-2026-000028,Saptagiri Machine Parts & Co,VEND-003,2026-05-12,2026-06-11,401667.00,0.18,20083.00,401667.00,401667.00,paid,INR,purchase bill
AP-RT-2026-000036,RT-2026-000036,Raman Deep Hardware Private Limited,VEND-002,2026-05-13,2026-07-13,301047.00,0.18,36126.00,301047.00,301047.00,paid,INR,purchase bill
