advice_id,invoice_no,payer_name,amount,notified_on,utr,narration_hint
ADV-000001,INV-2026-000002,RAMAN DEEP ,1273834.00,2026-05-16,900000005655,
ADV-000002,INV-2026-000003,INDUSLOOM RO ,362844.00,2026-06-05,,
ADV-000003,,RAMAN DEEP CONVEYANCES HUB,1071292.00,2026-06-10,,
ADV-000004,,ANANT INFRA SOLAR EPC LTD,381471.00,2026-07-10,,
ADV-000005,INV-2026-000018,LOHIYA POLYMERS P,142160.00,2026-06-22,900000006264,
ADV-000006,INV-2026-000024,VAISHNAVI TEXTILES LTD,594906.00,2026-06-02,900000006425,
ADV-000007,INV-2026-000025,HIRANYAKA HARDWARE PVT LTD,1191903.00,2026-06-01,900000006493,
ADV-000008,INV-2026-000026,INDUSLOOM ROOFING,803183.00,2026-06-01,,
ADV-000009,INV-2026-000027,INDUSLOOM ROOFING PRODUCTS & CO,154432.00,2026-06-14,,
ADV-000010,INV-2026-000036,ZENITH ONE ELECTRICALS & CO,328550.00,2026-05-25,,
ADV-000011,INV-2026-000039,LOHIYA POLYMERS PRIVATE LIMITED,158715.00,2026-06-22,,
ADV-000012,INV-2026-000044,SHREE BALAJI RE,159068.00,2026-05-19,900000007322,
ADV-000013,,VAISHNAVI TEXTILES & CO,1504132.00,2026-06-01,900000007414,
ADV-000014,INV-2026-000059,TRIVIDATA WAREHOUSING LTD,242684.00,2026-05-31,900000008170,
ADV-000015,INV-2026-000060,SAPTAGIRI WATER ,760358.00,2026-06-07,900000008199,
ADV-000016,INV-2026-000075,KARMAN PRINT SOLUTIONS COI,1076399.00,2026-06-29,,
ADV-000017,INV-2026-000082,HIRANYAKA HARDWARE PVT LTD,298642.00,2026-06-12,900000009326,
ADV-000018,,VAISHNAVI TEXTILES LLP,1367616.00,2026-06-13,900000009510,
ADV-000019,INV-2026-000096,ANANT INFRA CATERING SERVICES COMPANY,248440.00,2026-06-30,900000009740,
ADV-000020,,HIRANYAKA HKR ,229772.00,2026-06-27,,
ADV-000021,INV-2026-000099,ANANCAT SERVICES ,87955.00,2026-07-08,900000009793,
ADV-000022,INV-2026-000106,SHREE BALAJI RECYCLERS PRIVATE LIMITED,379005.00,2026-06-11,,
ADV-000023,INV-2026-000113,ZENITH ONE ELECTRICALS & CO,349008.00,2026-05-27,,
ADV-000024,,HIRANYAKA HARDWARE PUN,58348.00,2026-06-21,900000010555,
ADV-000025,INV-2026-000117,RAMAN DEEP CONVEYANCES HUB,3350391.00,2026-06-16,900000010678,
ADV-000026,,RAMACON CONVEYANCES,105154.00,2026-06-22,,
ADV-000027,INV-2026-000131,TANSH MACHINE PARTS PUN,685749.00,2026-06-20,900000011346,
ADV-000028,INV-2026-000133,ANANT INFRA SOLAR EPC LTD,688712.00,2026-08-07,900000011444,
ADV-000029,,KARMPRI SO ,502963.00,2026-07-11,900000011453,
ADV-000030,,RAMAN DEEP CONVEYANCES PRIVATE LIMITED,745456.00,2026-06-26,900000012114,
ADV-000031,,ANANT INFRA CATERING SERVICES RAJ,403760.00,2026-07-23,900000012139,
ADV-000032,INV-2026-000166,HIRANYAKA HARDWARE PVT LTD,245711.00,2026-06-21,900000012880,
ADV-000033,,RAMAN DEEP CONVEYANCES PRIVATE,642449.00,2026-07-04,900000013359,
ADV-000034,INV-2026-000177,ZENITH ONE ELECTRICALS,289474.00,2026-06-07,900000013438,
ADV-000035,INV-2026-000180,KARMAN PRINT SOLUTIONS PRIVATE LI,2004125.00,2026-07-22,900000013605,
ADV-000036,INV-2026-000192,INDUSLOOM ROOFING PKODUCTS PVT LTD,542094.00,2026-07-02,900000013986,
ADV-000037,INV-2026-000193,INDUSLGOM ROOFING PRODUCTS PVT LTD,729720.00,2026-07-06,,
ADV-000038,INV-2026-000196,TRIVIDATA WAREH ,388451.00,2026-06-24,900000014107,
ADV-000039,,ZENITH ONE ELECTRICALS PRIVATE LIMITED,373053.00,2026-06-29,,
ADV-000040,,ANANT INFRA CATERING SERVICES RAJ,255482.00,2026-07-23,900000014849,
ADV-000041,,TANSMAC PA,146013.00,2026-07-09,,
ADV-000042,INV-2026-000217,ZENITH ONE ELECTRICALS & CO,257203.00,2026-06-25,,
ADV-000043,INV-2026-000218,ANANT INFRA CATE,123980.00,2026-07-26,900000015129,
ADV-000044,,LOHIYA POLYMERS PR,390789.00,2026-07-21,900000015186,
ADV-000045,,ZENITH ONE ELECTR,384074.00,2026-07-06,900000015264,
ADV-000046,INV-2026-000221,HIRANYAKA HARDWARE PVT LTD,161889.00,2026-06-16,900000015320,
ADV-000047,INV-2026-000222,ANANT INFRA CATERING SERVICES PRIVATE LIMITED,87825.00,2026-07-25,,
ADV-000048,INV-2026-000223,ZENITH ONE ELECTRICALS LTD,243602.00,2026-06-21,900000015476,
ADV-000049,,LOHIYA POLYMERS PRIVATE LIMITED,132777.00,2026-07-25,,
ADV-000050,,EVERSTONE LOGISTICS RAJ,1660080.00,2026-07-12,900000015631,
ADV-000051,INV-2026-000230,HIRANYAKA HARDWARE PUN,122516.00,2026-07-05,900000015691,
ADV-000052,,ANANT INFRA SOLAR EPC LTD,49394.00,2026-08-15,,
ADV-000053,INV-2026-000234,ANANSOL MPC,222493.00,2026-08-15,,
ADV-000054,INV-2026-000241,RAMAN DEEP CMNVEYANCES PRIVATE LIMITED,1080182.00,2026-07-02,,
ADV-000055,,HIRAHAR HAR,137655.00,2026-06-29,900000016350,
ADV-000056,INV-2026-000265,LOHIPOL POLYMERS,281618.00,2026-07-30,,
ADV-000057,INV-2026-000268,ZENITH ONE ELECTRICALS & CO,393541.00,2026-07-06,,
ADV-000058,INV-2026-000269,RAMAN DEEP CONVEYANCES PVT LTD,312214.00,2026-07-09,900000017210,
ADV-000059,INV-2026-000271,ANANT INFRA SOLAR EP,1326454.00,2026-08-19,900000017233,
ADV-000060,INV-2026-000279,HIRANYAKA HARDWARE PUN,64262.00,2026-07-07,900000017609,
ADV-000061,INV-2026-000280,EVERLOG OOGISTICS,296005.00,2026-07-16,900000017681,
ADV-000062,,ANANT INFRA SOLAR EPC HUB,546453.00,2026-08-19,900000017759,
ADV-000063,,ANANT INFRA CATERING SERVICES PR,224392.00,2026-08-11,,
ADV-000064,INV-2026-000297,SAPTAGIRI WATER TREATMENT LLP,2465155.00,2026-07-15,900000018583,
ADV-000065,,LOHIYA POLYMERS PRIVATE ,353309.00,2026-08-01,900000018594,
ADV-000066,INV-2026-000299,SAPTAGIRI ,310384.00,2026-07-14,,
ADV-000067,,ANANT INFRA CATERING SERVICES PRIVATE LIMITED,168034.00,2026-08-10,,
ADV-000068,INV-2026-000302,INDUROO PRO ,760665.00,2026-07-26,,
ADV-000069,INV-2026-000303,SHREE BALAJI RE,250174.00,2026-07-13,900000018780,
