payment_id,order_id,amount,method,fee,captured_at,status,settlement_id,notes_invoice_no
pay_260507000000,order_260507000,2400.00,upi_apps,48.00,2026-05-07T20:19:00+05:30,captured,setl_00000001,
pay_260507000001,order_260507000,4368.00,wallet,87.36,2026-05-07T20:52:00+05:30,captured,setl_00000001,
pay_260507000002,order_260507000,4469.00,netbanking,40.22,2026-05-07T21:41:00+05:30,captured,setl_00000001,
pay_260507000003,order_260507000,1958.00,wallet,39.16,2026-05-07T08:33:00+05:30,captured,setl_00000001,
pay_260507000004,order_260507000,4376.00,card,87.52,2026-05-07T11:48:00+05:30,captured,setl_00000001,
pay_260507000005,order_260507000,2116.00,upi_apps,42.32,2026-05-07T17:16:00+05:30,captured,setl_00000001,
pay_260507000006,order_260507000,1146.00,upi_apps,22.92,2026-05-07T20:53:00+05:30,captured,setl_00000001,
pay_260507000007,order_260507000,2327.00,upi_apps,46.54,2026-05-07T08:23:00+05:30,captured,setl_00000001,
pay_260507000008,order_260507000,1757.00,upi_apps,35.14,2026-05-07T22:09:00+05:30,captured,setl_00000001,
pay_260507000009,order_260507000,3042.00,upi_apps,60.84,2026-05-07T18:55:00+05:30,captured,setl_00000001,
pay_260507000010,order_260507000,1971.00,upi_apps,39.42,2026-05-07T16:59:00+05:30,captured,setl_00000001,
pay_260507000011,order_260507000,4852.00,upi_apps,97.04,2026-05-07T17:11:00+05:30,captured,setl_00000001,
pay_260507000012,order_260507000,4209.00,netbanking,37.88,2026-05-07T12:23:00+05:30,captured,setl_00000001,
pay_260507000013,order_260507000,2442.00,upi_apps,48.84,2026-05-07T18:26:00+05:30,captured,setl_00000001,
pay_260507000014,order_260507000,3125.00,upi_apps,62.50,2026-05-07T20:37:00+05:30,captured,setl_00000001,
pay_260507000015,order_260507000,1600.00,card,32.00,2026-05-07T11:14:00+05:30,captured,setl_00000001,
pay_260507000016,order_260507000,1056.00,card,21.12,2026-05-07T20:28:00+05:30,captured,setl_00000001,
pay_260507000017,order_260507000,2378.00,wallet,47.56,2026-05-07T15:02:00+05:30,captured,setl_00000001,
pay_260507000018,order_260507000,1822.00,wallet,36.44,2026-05-07T08:27:00+05:30,captured,setl_00000001,
pay_260507000019,order_260507000,1060.00,card,21.20,2026-05-07T10:10:00+05:30,captured,setl_00000001,
pay_260507000020,order_260507000,3743.00,card,74.86,2026-05-07T18:29:00+05:30,captured,setl_00000001,
pay_260507000021,order_260507000,1869.00,netbanking,16.82,2026-05-07T10:37:00+05:30,captured,setl_00000001,
pay_260507000022,order_260507000,723.00,upi_apps,14.46,2026-05-07T12:31:00+05:30,captured,setl_00000001,
pay_260507000023,order_260507000,803.00,upi_apps,16.06,2026-05-07T22:07:00+05:30,captured,setl_00000001,
pay_260507000024,order_260507000,1023.00,upi_apps,20.46,2026-05-07T21:19:00+05:30,captured,setl_00000001,
pay_260507000025,order_260507000,851.00,upi_apps,17.02,2026-05-07T11:09:00+05:30,captured,setl_00000001,
pay_260507000026,order_260507000,1154.00,wallet,23.08,2026-05-07T18:09:00+05:30,captured,setl_00000001,
pay_260507000027,order_260507000,1647.00,upi_apps,32.94,2026-05-07T10:26:00+05:30,captured,setl_00000001,
pay_260507000028,order_260507000,4851.00,card,97.02,2026-05-07T21:36:00+05:30,captured,setl_00000001,
pay_260507000029,order_260507000,1577.00,upi_apps,31.54,2026-05-07T17:19:00+05:30,captured,setl_00000001,
pay_260507000030,order_260507000,4032.00,upi_apps,80.64,2026-05-07T13:07:00+05:30,captured,setl_00000001,
pay_260507000031,order_260507000,5325.00,wallet,106.50,2026-05-07T17:43:00+05:30,captured,setl_00000001,
pay_260507000032,order_260507000,1325.00,upi_apps,26.50,2026-05-07T12:02:00+05:30,captured,setl_00000001,
pay_260507000033,order_260507000,2829.00,upi_apps,56.58,2026-05-07T13:45:00+05:30,captured,setl_00000001,
pay_260507000034,order_260507000,2972.00,netbanking,26.74,2026-05-07T21:05:00+05:30,captured,setl_00000001,
pay_260507000035,order_260507000,3118.00,upi_apps,62.36,2026-05-07T11:11:00+05:30,captured,setl_00000001,
pay_260507000036,order_260507000,1576.00,wallet,31.52,2026-05-07T22:17:00+05:30,captured,setl_00000001,
pay_260507000037,order_260507000,1781.00,upi_apps,35.62,2026-05-07T08:34:00+05:30,captured,setl_00000001,
pay_260507000038,order_260507000,527.00,wallet,10.54,2026-05-07T10:43:00+05:30,captured,setl_00000001,
pay_260507000039,order_260507000,5015.00,upi_apps,100.30,2026-05-07T16:43:00+05:30,captured,setl_00000001,
pay_260507000040,order_260507000,4934.00,upi_apps,98.68,2026-05-07T17:16:00+05:30,captured,setl_00000001,
pay_260507000041,order_260507000,4031.00,netbanking,36.27,2026-05-07T17:46:00+05:30,captured,setl_00000001,
pay_260507000042,order_260507000,4662.00,wallet,93.24,2026-05-07T09:43:00+05:30,captured,setl_00000001,
pay_260507000043,order_260507000,5188.00,upi_apps,103.76,2026-05-07T09:53:00+05:30,captured,setl_00000001,
pay_260507000044,order_260507000,4954.00,upi_apps,99.08,2026-05-07T21:23:00+05:30,captured,setl_00000001,
pay_260508000045,order_260508001,1149.00,netbanking,10.34,2026-05-08T11:41:00+05:30,captured,setl_00000002,
pay_260508000046,order_260508001,4697.00,card,93.94,2026-05-08T20:11:00+05:30,captured,setl_00000002,
