refund_id,payment_id,amount,created_at,settlement_id,status
rfnd_0000000,pay_260507000001,4174.21,2026-05-08,setl_00000001,processed
rfnd_0000001,pay_260507000010,1572.02,2026-05-08,setl_00000001,processed
rfnd_0000002,pay_260507000021,1111.31,2026-05-08,setl_00000001,processed
rfnd_0000003,pay_260507000029,574.60,2026-05-08,setl_00000001,processed
rfnd_0000004,pay_260507000041,3610.04,2026-05-08,setl_00000001,processed
rfnd_0000005,pay_260507000042,2192.09,2026-05-08,setl_00000001,processed
rfnd_0000006,pay_260508000053,2464.07,2026-05-09,setl_00000002,processed
rfnd_0000007,pay_260508000065,3046.49,2026-05-09,setl_00000002,processed
rfnd_0000008,pay_260508000088,3166.11,2026-05-09,setl_00000002,processed
rfnd_0000009,pay_260511000112,1108.11,2026-05-12,setl_00000005,processed
rfnd_0000010,pay_260512000150,2887.53,2026-05-13,setl_00000006,processed
rfnd_0000011,pay_260512000171,556.43,2026-05-13,setl_00000006,processed
rfnd_0000012,pay_260513000219,2000.67,2026-05-14,setl_00000007,processed
rfnd_0000013,pay_260513000236,662.78,2026-05-14,setl_00000007,processed
rfnd_0000014,pay_260514000253,485.75,2026-05-15,setl_00000008,processed
rfnd_0000015,pay_260519000387,956.10,2026-05-20,setl_00000013,processed
rfnd_0000016,pay_260520000448,3052.84,2026-05-21,setl_00000014,processed
rfnd_0000017,pay_260521000475,909.94,2026-05-22,setl_00000015,processed
rfnd_0000018,pay_260521000480,1172.35,2026-05-22,setl_00000015,processed
rfnd_0000019,pay_260521000490,1997.33,2026-05-22,setl_00000015,processed
rfnd_0000020,pay_260522000509,853.19,2026-05-23,setl_00000016,processed
rfnd_0000021,pay_260522000518,197.76,2026-05-23,setl_00000016,processed
rfnd_0000022,pay_260525000586,3494.96,2026-05-26,setl_00000018,processed
rfnd_0000023,pay_260525000590,2946.78,2026-05-26,setl_00000018,processed
rfnd_0000024,pay_260525000593,2891.76,2026-05-26,setl_00000018,processed
rfnd_0000025,pay_260525000607,1170.04,2026-05-26,setl_00000018,processed
rfnd_0000026,pay_260526000623,1822.16,2026-05-27,setl_00000019,processed
rfnd_0000027,pay_260527000670,3456.39,2026-05-28,setl_00000020,processed
rfnd_0000028,pay_260601000786,400.77,2026-06-02,setl_00000025,processed
rfnd_0000029,pay_260601000803,1514.47,2026-06-02,setl_00000025,processed
rfnd_0000030,pay_260601000825,2371.20,2026-06-02,setl_00000025,processed
rfnd_0000031,pay_260601000829,1458.38,2026-06-02,setl_00000025,processed
rfnd_0000032,pay_260602000841,1664.18,2026-06-03,setl_00000026,processed
rfnd_0000033,pay_260606000999,1607.63,2026-06-07,setl_00000030,processed
rfnd_0000034,pay_260612001217,2977.43,2026-06-13,setl_00000035,processed
rfnd_0000035,pay_260615001292,445.77,2026-06-16,setl_00000038,processed
rfnd_0000036,pay_260616001309,864.78,2026-06-17,setl_00000039,processed
rfnd_0000037,pay_260618001387,2327.49,2026-06-19,setl_00000041,processed
rfnd_0000038,pay_260618001419,2060.37,2026-06-19,setl_00000041,processed
rfnd_0000039,pay_260619001444,922.76,2026-06-20,setl_00000042,processed
rfnd_0000040,pay_260622001504,928.19,2026-06-23,setl_00000044,processed
rfnd_0000041,pay_260623001518,4025.85,2026-06-24,setl_00000045,processed
rfnd_0000042,pay_260623001519,1488.35,2026-06-24,setl_00000045,processed
rfnd_0000043,pay_260623001522,3659.72,2026-06-24,setl_00000045,processed
rfnd_0000044,pay_260625001603,990.40,2026-06-26,setl_00000047,processed
rfnd_0000045,pay_260625001610,2635.78,2026-06-26,setl_00000047,processed
rfnd_0000046,pay_260626001627,2701.20,2026-06-27,setl_00000048,processed
rfnd_0000047,pay_260626001648,552.16,2026-06-27,setl_00000048,processed
rfnd_0000048,pay_260626001661,636.34,2026-06-27,setl_00000048,processed
rfnd_0000049,pay_260626001664,906.99,2026-06-27,setl_00000048,processed
rfnd_0000050,pay_260629001719,1968.21,2026-06-30,setl_00000050,processed
rfnd_0000051,pay_260629001725,4098.58,2026-06-30,setl_00000050,processed
rfnd_0000052,pay_260630001770,1969.20,2026-07-01,setl_00000051,processed
rfnd_0000053,pay_260630001783,2546.11,2026-07-01,setl_00000051,processed
rfnd_0000054,pay_260630001809,4638.48,2026-07-01,setl_00000051,processed
rfnd_0000055,pay_260630001810,3440.12,2026-07-01,setl_00000051,processed
rfnd_0000056,pay_260701001823,2892.92,2026-07-02,setl_00000052,processed
rfnd_0000057,pay_260701001829,521.57,2026-07-02,setl_00000052,processed
rfnd_0000058,pay_260702001854,460.76,2026-07-03,setl_00000053,processed
rfnd_0000059,pay_260702001861,938.35,2026-07-03,setl_00000053,processed
rfnd_0000060,pay_260703001899,2077.92,2026-07-04,setl_00000054,processed
rfnd_0000061,pay_260706001978,501.18,2026-07-07,setl_00000057,processed
rfnd_0000062,pay_260708002071,1063.17,2026-07-09,setl_00000059,processed
rfnd_0000063,pay_260709002105,638.22,2026-07-10,setl_00000060,processed
rfnd_0000064,pay_260710002133,1342.69,2026-07-11,setl_00000061,processed
rfnd_0000065,pay_260710002137,1379.66,2026-07-11,setl_00000061,processed
rfnd_0000066,pay_260710002139,2491.52,2026-07-11,setl_00000061,processed
rfnd_0000067,pay_260713002200,1257.85,2026-07-14,setl_00000064,processed
rfnd_0000068,pay_260718002378,1746.07,2026-07-19,setl_00000069,processed
rfnd_0000069,pay_260722002464,790.82,2026-07-23,setl_00000073,processed
rfnd_0000070,pay_260724002540,658.26,2026-07-25,setl_00000075,processed
rfnd_0000071,pay_260725002570,751.78,2026-07-26,setl_00000076,processed
rfnd_0000072,pay_260727002618,675.50,2026-07-28,setl_00000078,processed
rfnd_0000073,pay_260728002644,2804.25,2026-07-29,setl_00000079,processed
rfnd_0000074,pay_260728002649,1925.94,2026-07-29,setl_00000079,processed
rfnd_0000075,pay_260728002659,1719.13,2026-07-29,setl_00000079,processed
rfnd_0000076,pay_260729002692,4273.44,2026-07-30,setl_00000080,processed
rfnd_0000077,pay_260730002713,1199.88,2026-07-31,setl_00000081,processed
rfnd_0000078,pay_260730002730,3123.94,2026-07-31,setl_00000081,processed
rfnd_0000079,pay_260730002731,1763.06,2026-07-31,setl_00000081,processed
rfnd_0000080,pay_260730002734,1588.40,2026-07-31,setl_00000081,processed
rfnd_0000081,pay_260803002795,1151.45,2026-08-04,setl_00000085,processed
rfnd_0000082,pay_260803002819,1238.39,2026-08-04,setl_00000085,processed
rfnd_0000083,pay_260803002825,1581.95,2026-08-04,setl_00000085,processed
rfnd_0000084,pay_260804002839,2229.91,2026-08-05,setl_00000086,processed
rfnd_0000085,pay_260804002862,3353.34,2026-08-05,setl_00000086,processed
rfnd_0000086,pay_260804002879,1669.43,2026-08-05,setl_00000086,processed
rfnd_0000087,pay_260807002970,1369.43,2026-08-08,setl_00000089,processed
rfnd_0000088,pay_260807002998,3118.10,2026-08-08,setl_00000089,processed
rfnd_0000089,pay_260807003006,1938.05,2026-08-08,setl_00000089,processed
rfnd_0000090,pay_260810003060,1110.60,2026-08-11,setl_00000091,processed
rfnd_0000091,pay_260810003092,4747.13,2026-08-11,setl_00000091,processed
rfnd_0000092,pay_260811003114,3995.24,2026-08-12,setl_00000092,processed
rfnd_0000093,pay_260811003117,2255.83,2026-08-12,setl_00000092,processed
rfnd_0000094,pay_260813003201,4056.14,2026-08-14,setl_00000094,processed
rfnd_0000095,pay_260813003207,630.47,2026-08-14,setl_00000094,processed
rfnd_0000096,pay_260813003216,3311.24,2026-08-14,setl_00000094,processed
rfnd_0000097,pay_260814003219,2470.51,2026-08-15,setl_00000095,processed
rfnd_0000098,pay_260817003315,849.83,2026-08-18,setl_00000098,processed
rfnd_0000099,pay_260818003344,1447.81,2026-08-19,setl_00000099,processed
rfnd_0000100,pay_260818003352,1323.56,2026-08-19,setl_00000099,processed
rfnd_0000101,pay_260819003368,2438.06,2026-08-20,setl_00000100,processed
rfnd_0000102,pay_260819003377,2329.77,2026-08-20,setl_00000100,processed
rfnd_0000103,pay_260820003391,2412.50,2026-08-21,setl_00000101,processed
rfnd_0000104,pay_260821003431,217.54,2026-08-22,setl_00000102,processed
rfnd_0000105,pay_260821003468,3012.49,2026-08-22,setl_00000102,processed
rfnd_0000106,pay_260823003496,3009.48,2026-08-24,setl_00000104,processed
rfnd_0000107,pay_260825003576,2029.78,2026-08-26,setl_00000106,processed
rfnd_0000108,pay_260828003693,1826.50,2026-08-29,setl_00000109,processed
rfnd_0000109,pay_260828003727,3017.12,2026-08-29,setl_00000109,processed
rfnd_0000110,pay_260828003730,1394.78,2026-08-29,setl_00000109,processed
rfnd_0000111,pay_260902003821,3971.34,2026-09-03,setl_00000113,processed
rfnd_0000112,pay_260902003844,1130.19,2026-09-03,setl_00000113,processed
rfnd_0000113,pay_260902003850,705.14,2026-09-03,setl_00000113,processed
rfnd_0000114,pay_260903003877,2076.83,2026-09-04,setl_00000114,processed
rfnd_0000115,pay_260903003884,4461.08,2026-09-04,setl_00000114,processed
rfnd_0000116,pay_260903003888,646.79,2026-09-04,setl_00000114,processed
rfnd_0000117,pay_260904003923,2679.92,2026-09-05,setl_00000115,processed
rfnd_0000118,pay_260904003932,1882.06,2026-09-05,setl_00000115,processed
