settlement_id,settled_on,payout_utr,batch_type,txn_count,gross_amount,commission_amount,tmn_amount,gst_amount,tds_amount,net_amount,scheduled_id
setl_00000001,2026-05-11,900000000019,regular,35,106594.00,1992.36,1.06,358.81,39.84,95583.55,stl_sch_000001
setl_00000002,2026-05-11,900000000095,regular,22,62792.00,1149.52,0.62,207.02,22.99,61411.85,stl_sch_000002
setl_00000003,2026-05-12,900000000177,regular,6,21846.00,377.97,0.21,68.07,7.55,21392.20,stl_sch_000003
setl_00000004,2026-05-13,900000000226,regular,28,75598.00,1378.86,0.75,248.32,27.57,72993.93,stl_sch_000004
setl_00000005,2026-05-14,900000000252,regular,33,90939.00,1511.72,0.90,272.27,30.23,89123.88,stl_sch_000005
setl_00000006,2026-05-15,900000000303,regular,37,105950.00,1943.17,1.05,349.95,38.86,96201.48,stl_sch_000006
setl_00000007,2026-05-16,900000000338,regular,43,118803.00,2186.77,1.18,393.83,43.73,110568.48,stl_sch_000007
setl_00000008,2026-05-18,900000000359,regular,45,108490.00,2096.51,1.08,377.56,41.93,101307.01,stl_sch_000008
setl_00000009,2026-05-18,900000000396,regular,34,116874.00,2276.96,1.16,410.06,45.53,112576.68,stl_sch_000009
setl_00000010,2026-05-20,900000000462,regular,56,159484.00,2745.23,1.59,494.42,54.90,155220.34,stl_sch_000010
setl_00000011,2026-05-21,900000000480,regular,55,174087.00,3287.84,1.74,592.12,65.75,163817.54,stl_sch_000011
setl_00000012,2026-05-22,900000000482,regular,35,107855.00,1982.24,1.07,356.99,39.64,102928.21,stl_sch_000012
setl_00000013,2026-05-23,900000000562,regular,33,95947.00,1871.40,0.95,337.02,37.42,93383.18,stl_sch_000013
setl_00000014,2026-05-25,900000000647,regular,52,139727.00,2684.29,1.39,483.42,53.68,127367.93,stl_sch_000014
setl_00000015,2026-05-25,900000000739,regular,9,24185.00,436.77,0.24,78.66,8.73,23660.60,stl_sch_000015
setl_00000016,2026-05-26,900000000829,regular,6,12446.00,215.65,0.12,38.83,4.31,12163.63,stl_sch_000016
setl_00000017,2026-05-27,900000000894,regular,42,115766.00,2163.22,1.15,389.58,43.26,113168.79,stl_sch_000017
setl_00000018,2026-05-28,900000000922,regular,49,146392.00,2757.50,1.46,496.61,55.15,133589.64,stl_sch_000018
setl_00000019,2026-05-29,900000000970,regular,36,108034.00,2010.86,1.08,362.14,40.21,101028.23,stl_sch_000019
setl_00000020,2026-05-30,900000001007,regular,36,104151.00,1941.90,1.04,349.72,38.83,101819.51,stl_sch_000020
setl_00000021,2026-06-01,900000001032,regular,50,132938.00,2435.68,1.32,438.66,48.71,130013.63,stl_sch_000021
setl_00000022,2026-06-01,900000001043,regular,4,11661.00,233.22,0.11,41.99,4.66,10591.52,stl_sch_000022
setl_00000023,2026-06-02,900000001101,regular,18,55219.00,980.67,0.55,176.61,19.61,53690.66,stl_sch_000023
setl_00000024,2026-06-03,900000001144,regular,40,113426.00,2144.72,1.13,386.25,42.89,109944.08,stl_sch_000024
setl_00000025,2026-06-04,900000001162,regular,48,140109.00,2574.62,1.40,463.68,51.49,136489.42,stl_sch_000025
setl_00000026,2026-06-05,900000001173,regular,33,108106.00,2000.05,1.08,360.20,40.00,105704.67,stl_sch_000026
setl_00000027,2026-06-06,900000001241,regular,37,107685.00,2074.58,1.07,373.61,41.49,105194.25,stl_sch_000027
setl_00000028,2026-06-08,900000001275,regular,54,163159.00,3092.22,1.63,556.89,61.84,155067.00,stl_sch_000028
setl_00000029,2026-06-08,900000001309,regular,11,32789.00,637.60,0.32,114.82,12.75,31939.95,stl_sch_000029
setl_00000030,2026-06-09,900000001327,regular,10,38387.00,721.40,0.38,129.92,14.42,31296.57,stl_sch_000030
setl_00000031,2026-06-10,900000001332,regular,42,104082.00,1873.10,1.04,337.34,37.46,100487.93,stl_sch_000031
setl_00000032,2026-06-11,900000001392,regular,37,115620.00,2295.95,1.15,413.47,45.91,109448.16,stl_sch_000032
setl_00000033,2026-06-12,900000001458,regular,32,88633.00,1673.71,0.88,301.42,33.47,85410.51,stl_sch_000033
setl_00000034,2026-06-13,900000001485,regular,20,48912.00,850.03,0.48,153.09,17.00,47891.40,stl_sch_000034
setl_00000035,2026-06-15,900000001522,regular,37,100228.00,1854.88,1.00,334.05,37.09,95810.74,stl_sch_000035
setl_00000036,2026-06-15,900000001551,regular,12,34290.00,596.58,0.34,107.44,11.93,33573.71,stl_sch_000036
setl_00000037,2026-06-16,900000001559,regular,3,8791.00,175.82,0.08,31.66,3.51,8579.93,stl_sch_000037
setl_00000038,2026-06-17,900000001626,regular,53,149787.00,2758.41,1.49,496.78,55.16,140511.55,stl_sch_000038
setl_00000039,2026-06-18,900000001714,regular,34,106710.00,1867.11,1.06,336.27,37.34,101658.53,stl_sch_000039
setl_00000040,2026-06-19,900000001726,regular,30,79122.00,1487.05,0.79,267.81,29.74,77336.61,stl_sch_000040
setl_00000041,2026-06-20,900000001810,regular,35,94712.00,1700.86,0.94,306.32,34.01,92669.87,stl_sch_000041
setl_00000042,2026-06-22,900000001887,regular,46,147873.00,2663.89,1.47,479.76,53.27,144414.20,stl_sch_000042
setl_00000043,2026-06-22,900000001933,regular,13,33195.00,656.75,0.33,118.27,13.13,32406.52,stl_sch_000043
setl_00000044,2026-06-23,900000002011,regular,22,56207.00,1050.62,0.56,189.21,21.01,54291.92,stl_sch_000044
setl_00000045,2026-06-24,900000002025,regular,31,81501.00,1469.92,0.81,264.73,29.39,79015.40,stl_sch_000045
setl_00000046,2026-06-25,900000002049,regular,51,141380.00,2760.01,1.41,497.05,55.20,134066.84,stl_sch_000046
setl_00000047,2026-06-26,900000002142,regular,44,137172.00,2445.83,1.37,440.49,48.91,134235.40,stl_sch_000047
setl_00000048,2026-06-27,900000002206,regular,44,108145.00,2118.44,1.08,381.51,42.36,99030.72,stl_sch_000048
setl_00000049,2026-06-29,900000002228,regular,59,171744.00,3265.49,1.71,588.09,65.30,163553.64,stl_sch_000049
setl_00000050,2026-06-29,900000002277,regular,16,47026.00,912.34,0.47,164.30,18.24,43884.85,stl_sch_000050
setl_00000051,2026-06-30,900000002368,regular,15,40873.00,795.83,0.40,143.32,15.91,39163.36,stl_sch_000051
setl_00000052,2026-07-01,900000002393,regular,50,143608.00,2678.76,1.43,482.43,53.57,134754.57,stl_sch_000052
setl_00000053,2026-07-02,900000002478,regular,63,163466.00,3066.18,1.63,552.20,61.32,155601.94,stl_sch_000053
setl_00000054,2026-07-03,900000002547,regular,36,98008.00,1873.84,0.98,337.46,37.47,95758.25,stl_sch_000054
setl_00000055,2026-07-04,900000002623,regular,17,41954.00,716.45,0.41,129.03,14.32,41093.79,stl_sch_000055
setl_00000056,2026-07-06,900000002678,regular,51,151382.00,2749.66,1.51,495.21,54.99,144635.96,stl_sch_000056
setl_00000057,2026-07-06,900000002748,regular,7,19679.00,369.34,0.19,66.51,7.38,19235.58,stl_sch_000057
setl_00000058,2026-07-08,900000002843,regular,38,117704.00,2145.60,1.17,386.41,42.91,112094.14,stl_sch_000058
setl_00000059,2026-07-09,900000002869,regular,45,122867.00,2297.42,1.22,413.75,45.94,116119.00,stl_sch_000059
setl_00000060,2026-07-10,900000002934,regular,43,122922.00,2201.17,1.22,396.43,44.02,119089.89,stl_sch_000060
setl_00000061,2026-07-11,900000003021,regular,37,93439.00,1703.50,0.93,306.79,34.07,91393.71,stl_sch_000061
setl_00000062,2026-07-13,900000003058,regular,55,154273.00,2759.12,1.54,496.91,55.18,148297.67,stl_sch_000062
