day,expected_in_paise,expected_out_paise,net_paise
2026-09-05,91111283,78000000,13111283
2026-09-07,312966575,69253000,243713575
2026-09-08,86592200,72467000,14125200
2026-09-09,227757600,39994100,187763500
2026-09-10,32946400,65096400,-32150000
2026-09-11,106083600,55238500,50845100
2026-09-12,260703600,24380800,236322800
2026-09-14,770021500,115525000,654496500
2026-09-15,508470400,136213600,372256800
2026-09-16,99269000,71326300,27942700
2026-09-17,201388700,321583700,-120195000
2026-09-18,0,74511900,-74511900
2026-09-19,140471900,75793700,64678200
2026-09-21,213924300,228619600,-14695300
2026-09-22,204908800,5076200,199832600
2026-09-23,387529300,100216000,287313300
2026-09-24,141409800,115178600,26231200
2026-09-25,270539500,179998400,90541100
2026-09-26,257324400,45444600,211879800
2026-09-28,694258400,123913700,570344700
2026-09-29,6194600,140630400,-134435800
2026-09-30,67470900,73904800,-6433900
2026-10-01,187957500,553928800,-365971300
2026-10-03,230838500,415395500,-184557000
2026-10-05,190140400,395204100,-205063700
2026-10-06,135791200,409998100,-274206900
2026-10-07,27042000,86175100,-59133100
2026-10-08,710132500,162650700,547481800
2026-10-09,23601600,116208600,-92607000
2026-10-10,40578200,113390200,-72812000
2026-10-12,548069100,95289800,452779300
2026-10-13,327736000,97651000,230085000
2026-10-14,88268900,263897200,-175628300
2026-10-15,156876300,139003500,17872800
2026-10-16,254164700,182780900,71383800
2026-10-17,28158600,120604800,-92446200
2026-10-19,153787400,74474700,79312700
2026-10-20,207635000,59913100,147721900
2026-10-21,76521200,56296700,20224500
2026-10-22,74450200,33882700,40567500
2026-10-23,400674900,215497600,185177300
2026-10-24,165994700,134384600,31610100
2026-10-26,526286000,614460900,-88174900
2026-10-27,162267700,36681100,125586600
2026-10-28,295223200,53930800,241292400
2026-10-29,20996000,18723900,2272100
2026-10-30,68290800,76458200,-8167400
2026-10-31,19000500,49491400,-30490900
2026-11-02,40273700,0,40273700
2026-11-04,29272900,0,29272900
2026-11-05,75888200,96846300,-20958100
2026-11-06,122972800,15765200,107207600
2026-11-07,116506500,55013300,61493200
2026-11-09,171307300,0,171307300
2026-11-10,0,137529000,-137529000
2026-11-11,33467000,4056900,29410100
2026-11-12,0,6748800,-6748800
2026-11-13,0,67127800,-67127800
2026-11-14,52022600,66879700,-14857100
2026-11-16,98370600,272534100,-174163500
2026-11-17,92711100,0,92711100
2026-11-18,0,85435200,-85435200
2026-11-19,145082800,0,145082800
2026-11-20,0,42836100,-42836100
2026-11-21,0,56975300,-56975300
2026-11-23,53669900,35989400,17680500
2026-11-24,88861500,54073400,34788100
2026-11-25,0,21400600,-21400600
2026-11-27,9534800,0,9534800
2026-11-30,17876500,0,17876500
2026-12-01,300808500,0,300808500
2026-12-03,19743800,0,19743800
2026-12-09,97772900,0,97772900
