line_id,txn_date,value_date,narration,utr,amount_in,amount_out,account
BL-000001,2026-03-02,2026-03-02,NEFT DR HDFC0001234 900000079141 FROM ACME INDUSTRIES PAYROLL milestone 2 INR 3450000.00,900000079141,,3450000.00,HDFC-Current-4421
BL-000002,2026-03-02,2026-03-02,EMI-202603 NEFT DR ICIC0000429 900000079229 FROM STATE BANK EQUIP material supply INR 1250,900000079229,,1250000.00,HDFC-Current-4421
BL-000003,2026-03-05,2026-03-05,NEFT DR KKBK0000812 900000079200 FROM SKYLINE ESTATES PVT LTD  invoice settlement INR 7800,900000079200,,780000.00,HDFC-Current-4421
BL-000004,2026-03-11,2026-03-11,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000001 UTR 900000000056,900000000056,125032.72,,HDFC-Current-4421
BL-000005,2026-03-12,2026-03-12,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000002 UTR 900000000087,900000000087,104336.56,,HDFC-Current-4421
BL-000006,2026-03-13,2026-03-13,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000003 UTR 900000000173,900000000173,137844.16,,HDFC-Current-4421
BL-000007,2026-03-14,2026-03-14,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000004 UTR 900000000187,900000000187,142430.60,,HDFC-Current-4421
BL-000008,2026-03-16,2026-03-16,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000006 UTR 900000000355,900000000355,51368.20,,HDFC-Current-4421
BL-000009,2026-03-16,2026-03-16,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000005 UTR 900000000266,900000000266,143321.57,,HDFC-Current-4421
BL-000010,2026-03-16,2026-03-16,UPI/HDFC0001234/672423997539/INV-2026-000007/merilab@ybl/MERIDIAN LAB SUPPLIES NAG,900000009024,559106.00,,HDFC-Current-4421
BL-000011,2026-03-17,2026-03-17,NEFT CR ICIC0000429 900000012510 FROM GOLDCREST WAAEHOUSING COMPANY part payment INR 14836,900000012510,148366.00,,HDFC-Current-4421
BL-000012,2026-03-17,2026-03-17,NEFT CR HDFC0001234 900000008871 FROM ORBITEX PAPER MILLS NOI security deposit INR 240349.,900000008871,240349.00,,HDFC-Current-4421
BL-000013,2026-03-18,2026-03-18,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000007 UTR 900000000403,900000000403,111925.43,,HDFC-Current-4421
BL-000014,2026-03-19,2026-03-19,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000008 UTR 900000000474,900000000474,152556.32,,HDFC-Current-4421
BL-000015,2026-03-20,2026-03-20,NEFT DR SBIN0000921 900000009922 FROM VRUNDAVAN INTERIORS PVT LTD full and final INR 21124,900000009922,,211244.00,HDFC-Current-4421
BL-000016,2026-03-20,2026-03-20,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000009 UTR 900000000561,900000000561,135435.06,,HDFC-Current-4421
BL-000017,2026-03-21,2026-03-21,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000010 UTR 900000000628,900000000628,113642.54,,HDFC-Current-4421
BL-000018,2026-03-23,2026-03-23,VB-2026-000058 NEFT DR KKBK0000812 900000011303 FROM LOHILOG LOGISTICS security deposit IN,900000011303,,356576.00,HDFC-Current-4421
BL-000019,2026-03-23,2026-03-23,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000012 UTR 900000000786,900000000786,4717.90,,HDFC-Current-4421
BL-000020,2026-03-23,2026-03-23,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000011 UTR 900000000712,900000000712,101310.06,,HDFC-Current-4421
BL-000021,2026-03-24,2026-03-24,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000013 UTR 900000000801,900000000801,18284.87,,HDFC-Current-4421
BL-000022,2026-03-24,2026-03-24,NEFT CR ICIC0000429 900000014298 FROM ORBITEX PAPER MILLS PVT LTD invoice settlement INR 1,900000014298,1479679.00,,HDFC-Current-4421
BL-000023,2026-03-25,2026-03-25,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000014 UTR 900000000846,900000000846,132386.95,,HDFC-Current-4421
BL-000024,2026-03-25,2026-03-25,INV-2026-000083 NEFT CR SBIN0000921 900000012307 FROM ORBIPAP MI security deposit INR 2311,900000012307,2311505.00,,HDFC-Current-4421
BL-000025,2026-03-26,2026-03-26,NEFT DR SBIN0000921 900000011772 FROM LOHIYA LOGISTICS P against inv INR 323945.00 RT-2026,900000011772,,323945.00,HDFC-Current-4421
BL-000026,2026-03-26,2026-03-26,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000015 UTR 900000000858,900000000858,123885.81,,HDFC-Current-4421
BL-000027,2026-03-26,2026-03-26,UPI/HDFC0001234/178992597125/nalarec@ybl/NALANDA RECYCLERS LLP,900000009905,265388.00,,HDFC-Current-4421
BL-000028,2026-03-27,2026-03-27,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000016 UTR 900000000888,900000000888,156225.19,,HDFC-Current-4421
BL-000029,2026-03-27,2026-03-27,NEFT CR UTIB0002233 900000080364 FROM GOLDCREST WAREHOUSING PRIVATE LIMITED freight charge,900000080364,424593.00,,HDFC-Current-4421
BL-000030,2026-03-28,2026-03-28,NEFT CR SBIN0000921 900000010622 FROM GOLDCREST WAREHOUSING PRIVATE LIMITED part payment I,900000010622,129629.00,,HDFC-Current-4421
BL-000031,2026-03-28,2026-03-28,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000017 UTR 900000000963,900000000963,203356.74,,HDFC-Current-4421
BL-000032,2026-03-28,2026-03-28,INV-2026-000150 RTGS HDFC0001234 900000015527 SAPTAGIRI ANALYTICS LTD INR 784113.00 part p,900000015527,784113.00,,HDFC-Current-4421
BL-000033,2026-03-30,2026-03-30,NEFT DR KKBK0000812 900000012198 FROM LOHIYA LOGIST security deposit INR 446832.00,900000012198,,446832.00,HDFC-Current-4421
BL-000034,2026-03-30,2026-03-30,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000019 UTR 900000001093,900000001093,88525.95,,HDFC-Current-4421
BL-000035,2026-03-30,2026-03-30,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000018 UTR 900000001060,900000001060,235962.39,,HDFC-Current-4421
BL-000036,2026-03-30,2026-03-30,NEFT CR HDFC0001234 900000008927 FROM ASHWINI CABLE SYSTEMS LLP material supply INR 816227,900000008927,816227.00,,HDFC-Current-4421
BL-000037,2026-03-30,2026-03-30,NEFT CR HDFC0001234 900000017066 FROM GOLDCREST WAREHOUSING PRIVATE LIMITED full and final,900000017066,941206.00,,HDFC-Current-4421
BL-000038,2026-03-30,2026-03-30,INV-2026-000024 NEFT CR HDFC0001234 900000009775 FROM GOLDCREST STEEL TRADERS COMPANY amc ,900000009775,3384171.00,,HDFC-Current-4421
BL-000039,2026-03-31,2026-03-31,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000020 UTR 900000001106,900000001106,16727.47,,HDFC-Current-4421
BL-000040,2026-03-31,2026-03-31,INV-2026-000023 CHQ CLG VEDIKA TEX  INV-2026-000023,900000009715,181803.00,,HDFC-Current-4421
BL-000041,2026-03-31,2026-03-31,NEFT CR HDFC0001234 900000010088 FROM GOLDCREST STEEL TRAD against inv INR 741924.00,900000010088,741924.00,,HDFC-Current-4421
BL-000042,2026-04-01,2026-04-01,NEFT DR UTIB0002233 900000079298 FROM ACME PAYROLL against inv INR 3450000.00,900000079298,,3450000.00,HDFC-Current-4421
BL-000043,2026-04-01,2026-04-01,NEFT DR KKBK0000812 900000009464 FROM EVERSTONE RECYCLERS COMPANY material supply INR 4465,900000009464,,446583.00,HDFC-Current-4421
BL-000044,2026-04-01,2026-04-01,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000021 UTR 900000001192,900000001192,167648.18,,HDFC-Current-4421
BL-000045,2026-04-01,2026-04-01,INV-2026-000202 RTGS UTIB0002233 900000018003 SAPTAGIRI ANALYTICS & CO INR 674577.00 again,900000018003,674577.00,,HDFC-Current-4421
BL-000046,2026-04-02,2026-04-02,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000022 UTR 900000001289,900000001289,150990.59,,HDFC-Current-4421
BL-000047,2026-04-02,2026-04-02,UPI/HDFC0001234/751393522113/nalarec@paytm/NALANDA RECYCLER,900000010860,189651.00,,HDFC-Current-4421
BL-000048,2026-04-03,2026-04-03,NEFT DR SBIN0000921 900000079357 FROM STATE BANK EQUIP LOAN invoice settlement INR 1250000,900000079357,,1250000.00,HDFC-Current-4421
BL-000049,2026-04-03,2026-04-03,CHQ CLG ANANT INFRA ELECTR ,900000020258,,219681.00,HDFC-Current-4421
BL-000050,2026-04-03,2026-04-03,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000023 UTR 900000001306,900000001306,170048.09,,HDFC-Current-4421
BL-000051,2026-04-03,2026-04-03,UPI/HDFC0001234/605761818651/merilab@okhdfcbank/MERIDIAN LAB SUPPLIES LTD/INV-2026-000144,900000015246,362931.00,,HDFC-Current-4421
BL-000052,2026-04-03,2026-04-03,UPI/HDFC0001234/737374474366/INV-2026-000090/nalarec@ybl/NALANDA RECYCLERS LLP,900000012599,692980.00,,HDFC-Current-4421
BL-000053,2026-04-03,2026-04-03,INV-2026-000287 RTGS KKBK0000812 900000021437 SAPTAGIRI ANALYTICS BTD INR 1161776.00 advan,900000021437,1161776.00,,HDFC-Current-4421
BL-000054,2026-04-04,2026-04-04,NEFT DR HDFC0001234 900000010420 FROM EVERSTONE RE  security deposit INR 1273592.00 RT-202,900000010420,,1273592.00,HDFC-Current-4421
BL-000055,2026-04-04,2026-04-04,NEFT DR ICIC0000429 900000010571 FROM EVERSTONE RECYCLERS PRIVATE LI advance INR 568080.00,900000010571,,568080.00,HDFC-Current-4421
BL-000056,2026-04-04,2026-04-04,NEFT DR HDFC0001234 900000010248 FROM TRINETRA AGRI INPUTS FAR invoice settlement INR 4699,900000010248,,469965.00,HDFC-Current-4421
BL-000057,2026-04-04,2026-04-04,VB-2026-000117 RTGS SBIN0000921 900000013781 SUNDARA WATER TREATMENT LTD INR 174858.00 fre,900000013781,,174858.00,HDFC-Current-4421
BL-000058,2026-04-04,2026-04-04,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000024 UTR 900000001341,900000001341,83184.30,,HDFC-Current-4421
BL-000059,2026-04-04,2026-04-04,NEFT CR ICIC0000429 900000010676 FROM ASHWINI INTERIORS  advance INR 318339.00 INV-2026-00,900000010676,318339.00,,HDFC-Current-4421
BL-000060,2026-04-06,2026-04-06,NEFT DR KKBK0000812 900000079453 FROM INCOME TAX GS security deposit INR 3971495.00,900000079453,,3971495.00,HDFC-Current-4421
BL-000061,2026-04-06,2026-04-06,VB-2026-000074 CHQ CLG ANANT INFRA ELECTRICAL VB-2026-000074,900000011912,,864555.00,HDFC-Current-4421
BL-000062,2026-04-06,2026-04-06,RENT-202604 NEFT DR KKBK0000812 900000079332 FROM SKYLINE ESTATES  amc renewal INR 780000.,900000079332,,780000.00,HDFC-Current-4421
BL-000063,2026-04-06,2026-04-06,NEFT DR KKBK0000812 900000011970 FROM VRUNDAVAN INTERIORS PVT LTD full and final INR 34151,900000011970,,341518.00,HDFC-Current-4421
BL-000064,2026-04-06,2026-04-06,NEFT DR SBIN0000921 900000012116 FROM VRUNDAVAN INTERIORS PVT LTD advance INR 340387.00,900000012116,,340387.00,HDFC-Current-4421
BL-000065,2026-04-06,2026-04-06,NEFT DR UTIB0002233 900000010205 FROM EVERSTONE RECYCLERS PVT LTD material supply INR 1471,900000010205,,147125.00,HDFC-Current-4421
BL-000066,2026-04-06,2026-04-06,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000026 UTR 900000001409,900000001409,17381.79,,HDFC-Current-4421
BL-000067,2026-04-06,2026-04-06,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000025 UTR 900000001369,900000001369,133451.83,,HDFC-Current-4421
BL-000068,2026-04-06,2026-04-06,RTGS ICIC0000429 900000022171 SAPTAGIRI ANALYTICS PRIVATE LIMITED INR 319737.00 milestone ,900000022171,319737.00,,HDFC-Current-4421
BL-000069,2026-04-06,2026-04-06,NEFT CR ICIC0000429 900000015135 FROM ORBITEX PAPER MILLS LLP freight charges INR 374720.0,900000015135,374720.00,,HDFC-Current-4421
BL-000070,2026-04-06,2026-04-06,UPI/HDFC0001234/111579720707/INV-2026-000186/orbidai@okhdfcbank/ORBITEX DAIRY FOODS PVT LT,900000017139,669758.00,,HDFC-Current-4421
BL-000071,2026-04-06,2026-04-06,UPI/HDFC0001234/552042247491/merilab@okhdfcbank/MERIDIAN LAB SUP,900000020026,700433.00,,HDFC-Current-4421
BL-000072,2026-04-06,2026-04-06,NEFT CR HDFC0001234 900000013094 FROM PUSHPA METALS AGRI INPUTS PRIVATE LIMITED amc renewa,900000013094,1018707.00,,HDFC-Current-4421
BL-000073,2026-04-06,2026-04-06,NEFT CR HDFC0001234 900000016441 FROM ORBITEX PAPER MILLS LTD security deposit INR 1218737,900000016441,1218737.00,,HDFC-Current-4421
BL-000074,2026-04-07,2026-04-07,RT-2026-000097 CHQ CLG ANANELE ELE  RT-2026-000097,900000012787,,591957.00,HDFC-Current-4421
BL-000075,2026-04-07,2026-04-07,NEFT DR KKBK0000812 900000013578 FROM VRUNDAVAN INTERIORS PVT LTD full and final INR 30575,900000013578,,305753.00,HDFC-Current-4421
BL-000076,2026-04-07,2026-04-07,NEFT DR ICIC0000429 900000018249 FROM VRUNDAVAN INTERIORS PVT LTD advance INR 214437.00 VB,900000018249,,214437.00,HDFC-Current-4421
BL-000077,2026-04-07,2026-04-07,INV-2026-000033 CHQ CLG VEDIKA TEXJILES COMPANY INV-2026-000033,900000010125,240464.00,,HDFC-Current-4421
BL-000078,2026-04-07,2026-04-07,NEFT CR HDFC0001234 900000011351 FROM ASHWINI INTERIORS & CO invoice settlement INR 273211,900000011351,273211.00,,HDFC-Current-4421
BL-000079,2026-04-07,2026-04-07,NEFT CR UTIB0002233 900000019869 FROM ORBITEX PAPER MILLS PVT LTD part payment INR 779286.,900000019869,779286.00,,HDFC-Current-4421
BL-000080,2026-04-08,2026-04-08,NEFT DR UTIB0002233 900000015985 FROM VRUNDAVAN INTERIORS & CO invoice settlement INR 4860,900000015985,,486091.00,HDFC-Current-4421
BL-000081,2026-04-08,2026-04-08,RT-2026-000070 NEFT DR HDFC0001234 900000011801 FROM EVERREC RECYCLERS freight charges INR,900000011801,,299713.00,HDFC-Current-4421
BL-000082,2026-04-08,2026-04-08,RT-2026-000030 NEFT DR SBIN0000921 900000009941 FROM NORTHLINE ROO full and final INR 2150,900000009941,,215011.00,HDFC-Current-4421
BL-000083,2026-04-08,2026-04-08,NEFT DR UTIB0002233 900000015014 FROM EVERSTONE RECYCLER milestone 2 INR 57843.00,900000015014,,57843.00,HDFC-Current-4421
BL-000084,2026-04-08,2026-04-08,NEFT CR HDFC0001234 900000008972 FROM SURYAVANSH CATERING SERVICES KOC against inv INR 899,900000008972,89978.00,,HDFC-Current-4421
BL-000085,2026-04-08,2026-04-08,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000027 UTR 900000001423,900000001423,90739.26,,HDFC-Current-4421
BL-000086,2026-04-08,2026-04-08,NEFT CR ICIC0000429 900000009817 FROM ZENITH ONE LOGISTICS EAG advance INR 222258.00,900000009817,222258.00,,HDFC-Current-4421
BL-000087,2026-04-08,2026-04-08,UPI/HDFC0001234/382239400971/INV-2026-000106/nalarec@okaxis/NALANDA RECYCLE,900000013285,328598.00,,HDFC-Current-4421
BL-000088,2026-04-09,2026-04-09,NEFT DR ICIC0000429 900000011148 FROM TRINETRA AGRI INPUTS COMPANY security deposit INR 35,900000011148,,355835.00,HDFC-Current-4421
BL-000089,2026-04-09,2026-04-09,RT-2026-000191 RTGS HDFC0001234 900000017413 SUNDARA WATER TREATMENT LTD INR 298709.00 par,900000017413,,298709.00,HDFC-Current-4421
BL-000090,2026-04-09,2026-04-09,NEFT DR SBIN0000921 900000009410 FROM TRTNETRA AGRI  freight charges INR 240515.00 VB-2026,900000009410,,240515.00,HDFC-Current-4421
BL-000091,2026-04-09,2026-04-09,VB-2026-000173 CHQ CLG ANANT INFRA ELECTRICALS LTD VB-2026-000173,900000016398,,135699.00,HDFC-Current-4421
BL-000092,2026-04-09,2026-04-09,RT-2026-000319 NEFT DR ICIC0000429 900000022891 FROM VRUNDAVAN INTERIORS PVT LTD invoice s,900000022891,,63345.00,HDFC-Current-4421
BL-000093,2026-04-09,2026-04-09,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000028 UTR 900000001482,900000001482,99477.77,,HDFC-Current-4421
BL-000094,2026-04-09,2026-04-09,NEFT CR ICIC0000429 900000016552 FROM PUSHPA METALS AGRI INPUTS KOC invoice settlement INR,900000016552,354680.00,,HDFC-Current-4421
BL-000095,2026-04-09,2026-04-09,NEFT CR UTIB0002233 900000011481 FROM SURYAVANSH CATERING SERVICWS COMPANY advance INR 403,900000011481,403648.00,,HDFC-Current-4421
BL-000096,2026-04-10,2026-04-10,RT-2026-000276 NEFT DR ICIC0000429 900000020971 FROM LOHIYA LOGISTICS PRIVATE LIMITED secu,900000020971,,779820.00,HDFC-Current-4421
BL-000097,2026-04-10,2026-04-10,NEFT DR KKBK0000812 900000014510 FROM EVERSTONE RECYCLE invoice settlement INR 278504.00 R,900000014510,,278504.00,HDFC-Current-4421
BL-000098,2026-04-10,2026-04-10,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000029 UTR 900000001515,900000001515,79254.28,,HDFC-Current-4421
BL-000099,2026-04-10,2026-04-10,INV-2026-000248 RTGS KKBK0000812 900000019755 SAPTAGIRI ANALYTICS LTD INR 419058.00 invoic,900000019755,419058.00,,HDFC-Current-4421
BL-000100,2026-04-10,2026-04-10,UPI/HDFC0001234/737430961166/merilab@ybl/MERIDIAN LEB S/INV-2026-000256,900000020037,452482.00,,HDFC-Current-4421
BL-000101,2026-04-10,2026-04-10,UPI/HDFC0001234/997462482231/orbidai@okhdfcbank/ORBITEX DAIRY FOODS P,900000019934,730399.00,,HDFC-Current-4421
BL-000102,2026-04-10,2026-04-10,UPI/HDFC0001234/766748144146/INV-2026-000290/merilab@paytm/MERIDIAN LAB SUPPLIES LLP,900000021488,815948.00,,HDFC-Current-4421
BL-000103,2026-04-11,2026-04-11,VB-2026-000162 CHQ CLG ANANT INFRA ELECTRICALS PRIVATE LIMITED VB-2026-000162,900000015883,,456800.00,HDFC-Current-4421
BL-000104,2026-04-11,2026-04-11,CHQ CLG ANANELE ELE  ,900000027082,,454976.00,HDFC-Current-4421
BL-000105,2026-04-11,2026-04-11,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000030 UTR 900000001584,900000001584,130940.66,,HDFC-Current-4421
BL-000106,2026-04-11,2026-04-11,NEFT CR KKBK0000812 900000020814 FROM PUSHPA METALS AGRI  freight charges INR 320506.00,900000020814,320506.00,,HDFC-Current-4421
BL-000107,2026-04-11,2026-04-11,NEFT CR SBIN0000921 900000023042 FROM ORBITEX PAPER MILLS PVT LTD advance INR 835655.00,900000023042,835655.00,,HDFC-Current-4421
BL-000108,2026-04-13,2026-04-13,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000032 UTR 900000001646,900000001646,18353.92,,HDFC-Current-4421
BL-000109,2026-04-13,2026-04-13,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000031 UTR 900000001621,900000001621,97995.59,,HDFC-Current-4421
