document_id,document_no,counterparty,counterparty_code,document_date,due_date,gross_amount,gst_rate,gst_amount,net_amount,paid_amount,status,currency,notes
AP-VB-2026-000010,VB-2026-000010,Goldcrest Steel Traders Company,VEND-016,2026-03-09,2026-05-08,459415.00,0.18,55130.00,459415.00,459415.00,paid,INR,purchase bill
AP-VB-2026-000011,VB-2026-000011,Karman Catering Services LLP,VEND-014,2026-03-09,2026-05-08,124865.00,0.18,14984.00,124865.00,124865.00,paid,INR,purchase bill
AP-VB-2026-000012,VB-2026-000012,Trinetra Solar EPC LLP,VEND-008,2026-03-09,2026-05-08,281964.00,0.18,50754.00,281964.00,281964.00,paid,INR,purchase bill
AP-VB-2026-000013,VB-2026-000013,Zenith One Textiles LLP,VEND-012,2026-03-09,2026-05-08,635552.00,0.18,114399.00,635552.00,635552.00,paid,INR,purchase bill
AP-RT-2026-000014,RT-2026-000014,Everstone Staffing & Co,VEND-020,2026-03-09,2026-04-23,512457.00,0.18,92242.00,512457.00,512457.00,paid,INR,purchase bill
AP-VB-2026-000015,VB-2026-000015,Trinetra Agri Inputs Company,VEND-018,2026-03-09,2026-04-08,240515.00,0.18,43293.00,240515.00,240515.00,paid,INR,purchase bill
AP-VB-2026-000016,VB-2026-000016,Everstone Recyclers & Co,VEND-007,2026-03-09,2026-03-24,446583.00,0.18,53590.00,446583.00,446583.00,paid,INR,purchase bill
AP-VB-2026-000017,VB-2026-000017,Bluepeak Cold Chain PVT LTD,VEND-022,2026-03-09,2026-04-23,218176.00,0.18,39272.00,218176.00,218176.00,paid,INR,purchase bill
AP-VB-2026-000018,VB-2026-000018,Ashwini Machine Parts Ltd,VEND-003,2026-03-09,2026-05-08,329917.00,0.18,39590.00,329917.00,329917.00,paid,INR,purchase bill
AP-VB-2026-000019,VB-2026-000019,Meridian Polymers Ltd,VEND-001,2026-03-09,2026-04-08,788746.00,0.18,94650.00,788746.00,788746.00,paid,INR,purchase bill
AP-VB-2026-000020,VB-2026-000020,Shree Balaji Analytics Private Limited,VEND-015,2026-03-09,2026-05-08,315932.00,0.18,56868.00,315932.00,315932.00,paid,INR,purchase bill
