document_id,document_no,counterparty,counterparty_code,document_date,due_date,gross_amount,gst_rate,gst_amount,net_amount,paid_amount,status,currency,notes
AR-INV-2026-000001,INV-2026-000001,Nalanda Fab Services Private Limited,CUST-017,2026-03-09,2026-05-08,165088.00,0.18,29716.00,165088.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000002,INV-2026-000002,Everstone Water Treatment Company,CUST-009,2026-03-09,2026-05-08,190337.00,0.18,34261.00,190337.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000003,INV-2026-000003,Orbitex Paper Mills PVT LTD,CUST-025,2026-03-09,2026-03-16,240349.00,0.18,43263.00,240349.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000004,INV-2026-000004,Ashwini Cable Systems LLP,CUST-023,2026-03-09,2026-04-08,816227.00,0.18,146921.00,816227.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000005,INV-2026-000005,Goldcrest Security Systems & Co,CUST-024,2026-03-09,2026-05-08,1288560.00,0.18,231941.00,1288560.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000006,INV-2026-000006,Suryavansh Catering Services Company,CUST-014,2026-03-09,2026-04-08,89978.00,0.18,16196.00,89978.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000007,INV-2026-000007,Meridian Lab Supplies LLP,CUST-029,2026-03-09,2026-03-16,559106.00,0.18,100639.00,559106.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000008,INV-2026-000008,Ashwini Cold Chain Ltd,CUST-022,2026-03-09,2026-04-08,674824.00,0.18,121468.00,674824.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000009,INV-2026-000009,Copperleaf Electricals PVT LTD,CUST-004,2026-03-09,2026-04-23,461895.00,0.18,83141.00,461895.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000021,INV-2026-000021,Vedika Facility Management & Co,CUST-028,2026-03-10,2026-04-24,680246.00,0.18,122444.00,680246.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000022,INV-2026-000022,Suryavansh Catering Services Company,CUST-014,2026-03-10,2026-04-09,203327.00,0.18,36599.00,203327.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000023,INV-2026-000023,Vedika Textiles Company,CUST-012,2026-03-10,2026-03-25,181803.00,0.18,32725.00,181803.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000024,INV-2026-000024,Goldcrest Steel Traders Company,CUST-016,2026-03-10,2026-03-25,3384171.00,0.18,609151.00,3384171.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000025,INV-2026-000025,Zenith One Logistics & Co,CUST-006,2026-03-10,2026-04-09,222258.00,0.18,40006.00,222258.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000026,INV-2026-000026,Nalanda Recyclers LLP,CUST-007,2026-03-10,2026-03-25,265388.00,0.18,47770.00,265388.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000027,INV-2026-000027,Zenith One Logistics & Co,CUST-006,2026-03-10,2026-04-09,77959.00,0.18,14033.00,77959.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000032,INV-2026-000032,Goldcrest Steel Traders Company,CUST-016,2026-03-11,2026-03-26,741924.00,0.18,133546.00,741924.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000033,INV-2026-000033,Vedika Textiles Company,CUST-012,2026-03-11,2026-03-26,240464.00,0.18,43284.00,240464.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000034,INV-2026-000034,Vedika Textiles Company,CUST-012,2026-03-11,2026-03-26,516239.00,0.18,92923.00,516239.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000035,INV-2026-000035,Shree Balaji Machine Parts & Co,CUST-003,2026-03-11,2026-05-11,506856.00,0.18,91234.00,506856.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000042,INV-2026-000042,Suryavansh Catering Services Company,CUST-014,2026-03-12,2026-04-11,147400.00,0.18,26532.00,147400.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000043,INV-2026-000043,Goldcrest Warehousing Private Limited,CUST-010,2026-03-12,2026-03-19,129629.00,0.18,23333.00,129629.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000044,INV-2026-000044,Ashwini Interiors & Co,CUST-019,2026-03-12,2026-04-11,318339.00,0.18,57301.00,318339.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000045,INV-2026-000045,Copperleaf Electricals PVT LTD,CUST-004,2026-03-12,2026-04-27,386622.00,0.18,69592.00,386622.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000046,INV-2026-000046,Vedika Facility Management & Co,CUST-028,2026-03-12,2026-04-27,400725.00,0.18,72130.00,400725.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000047,INV-2026-000047,Copperleaf Electricals PVT LTD,CUST-004,2026-03-12,2026-04-27,219050.00,0.18,39429.00,219050.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000048,INV-2026-000048,Nalanda Recyclers LLP,CUST-007,2026-03-12,2026-03-27,189651.00,0.18,34137.00,189651.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000049,INV-2026-000049,Trinetra Piping Solutions LLP,CUST-021,2026-03-12,2026-05-11,135700.00,0.18,24426.00,135700.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000050,INV-2026-000050,Zenith One Logistics & Co,CUST-006,2026-03-12,2026-04-11,167465.00,0.18,30144.00,167465.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000051,INV-2026-000051,Zenith One Logistics & Co,CUST-006,2026-03-12,2026-04-11,211536.00,0.18,38076.00,211536.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000059,INV-2026-000059,Ashwini Interiors & Co,CUST-019,2026-03-13,2026-04-13,273211.00,0.18,49178.00,273211.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000060,INV-2026-000060,Zenith One Logistics & Co,CUST-006,2026-03-13,2026-04-13,1498295.00,0.18,269693.00,1498295.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000061,INV-2026-000061,Suryavansh Catering Services Company,CUST-014,2026-03-13,2026-04-13,403648.00,0.18,72657.00,403648.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000062,INV-2026-000062,Sahyadri Polymers PVT LTD,CUST-001,2026-03-13,2026-04-27,270705.00,0.18,48727.00,270705.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000063,INV-2026-000063,Suryavansh Catering Services Company,CUST-014,2026-03-13,2026-04-13,548061.00,0.18,98651.00,548061.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000072,INV-2026-000072,Vedika Facility Management & Co,CUST-028,2026-03-14,2026-04-28,897718.00,0.18,161589.00,897718.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000073,INV-2026-000073,Anant Infra Staffing Private Limited,CUST-020,2026-03-14,2026-04-28,1884284.00,0.18,339171.00,1884284.00,0.00,overdue,INR,tax invoice
AR-INV-2026-000078,INV-2026-000078,Everstone Water Treatment Company,CUST-009,2026-03-15,2026-05-14,141860.00,0.18,25535.00,141860.00,0.00,overdue,INR,tax invoice
