advice_id,invoice_no,payer_name,amount,notified_on,utr,narration_hint
ADV-000001,INV-2026-000007,MERIDIAN LAB SUPPLIES LLP,559106.00,2026-03-16,900000009024,
ADV-000002,INV-2026-000021,VEDIKA FACILITY MANAGEMENT & CO,680246.00,2026-04-20,900000009623,
ADV-000003,INV-2026-000026,NALANDA RECY,265388.00,2026-03-25,,
ADV-000004,INV-2026-000032,GOLDCREST STEEL,741924.00,2026-03-31,900000010088,
ADV-000005,INV-2026-000033,VEDIKA TEXTILES COMPANY,240464.00,2026-04-05,,
ADV-000006,,COPPERLEAF ELECTRICALS LTD,386622.00,2026-04-22,900000010683,
ADV-000007,,NALANDA RECYCLERS LLP,189651.00,2026-04-02,900000010860,
ADV-000008,INV-2026-000051,ZENITH ONE LOGISTICS & CO,211536.00,2026-04-20,,
ADV-000009,INV-2026-000059,ASHWINI INTERIORS & CO,273211.00,2026-04-06,900000011351,
ADV-000010,INV-2026-000062,SAHYADRI POLYMERS PVT LTD,270705.00,2026-04-28,900000011576,
ADV-000011,INV-2026-000063,SURYAVANSH CATERING SERVICES PRIVATE LIMITED,548061.00,2026-04-22,,
ADV-000012,INV-2026-000072,VEDIKA FACILITY MANAGEMENT & CO,897718.00,2026-04-23,,
ADV-000013,INV-2026-000073,ANANT INFRA STAFFING PRIVATE LIMITED,1884284.00,2026-04-30,,
ADV-000014,INV-2026-000078,EVERSTONE WATER TREATMENT COMPANY,141860.00,2026-05-18,900000012029,
ADV-000015,INV-2026-000083,ORBITEX PAPER MILLS NOI,2311505.00,2026-03-24,900000012307,
ADV-000016,INV-2026-000086,SURYAVANSH CATERING,720643.00,2026-05-01,,
ADV-000017,,COPPERLEAF ELECTRICALS PVT LTD,372322.00,2026-04-24,,
ADV-000018,,GOLDCREST WAREHOUSING PRIVATE LIMITED,148366.00,2026-03-16,900000012510,
ADV-000019,INV-2026-000092,VEDIKA FACILITY MANAGEMENT & CO,499100.00,2026-05-07,900000012703,
ADV-000020,INV-2026-000101,EVERSTONE WATER TREATMENT JAI,290350.00,2026-05-18,900000013017,
ADV-000021,INV-2026-000103,ASHWINI CABLE SYSTEMS LLP,410872.00,2026-04-27,,
ADV-000022,INV-2026-000104,GOLDCREST SECURITY SYSTEMS COMPANY,1874315.00,2026-05-14,,
ADV-000023,INV-2026-000106,NALANDA RECYCLERS LLP,328598.00,2026-04-07,900000013285,
ADV-000024,INV-2026-000110,SHREE BALAJI HARDWAR,505807.00,2026-05-05,900000013438,
ADV-000025,INV-2026-000122,SURYAVANSH PRINT SOLUTIONS & CO,53966.00,2026-04-18,,
ADV-000026,,NALANDA FA,93013.00,2026-05-18,,
ADV-000027,INV-2026-000126,ORBIPAP MILLS,1479679.00,2026-03-22,900000014298,
ADV-000028,INV-2026-000127,COPPERLEAF ELECTRICA,558756.00,2026-04-22,,
ADV-000029,INV-2026-000128,ORBITEX PACKAGING PRIVATE LIMITED,677771.00,2026-05-06,,
ADV-000030,INV-2026-000130,TRINETRA PIPING SOLUTIONS PRIVATE LIMITED,130565.00,2026-05-17,,
ADV-000031,,ANANT INFRA CONVEYANCES PVT LTD,56793.00,2026-04-27,900000015417,
ADV-000032,,SAPTAGIRI ANALYTICS LLP,784113.00,2026-03-28,900000015527,
ADV-000033,INV-2026-000157,COPPERLEAF ELECTRICALS PVT LTD,579746.00,2026-04-27,,
ADV-000034,INV-2026-000174,ORBITEX PAPER MIL,1218737.00,2026-04-04,,
ADV-000035,INV-2026-000175,COPPERLEAF ELECTRICALS LTD,1685544.00,2026-05-03,,
ADV-000036,INV-2026-000177,COPPERLEAF ELECTRICALS,353732.00,2026-04-26,900000016634,
ADV-000037,INV-2026-000182,SAHYADRI POLYMERS PVT LTD,1145592.00,2026-04-22,,
ADV-000038,INV-2026-000183,VEDIKA TEXTILES COMPANY,131281.00,2026-04-16,900000016949,
ADV-000039,INV-2026-000184,COPPERLEAF ELECTRICALS PVT LTD,1384328.00,2026-05-07,,
ADV-000040,INV-2026-000185,GOLDCREST WAREHOUSING PVT LTD,941206.00,2026-03-28,,
ADV-000041,INV-2026-000202,SAPTAGIRI ANALYTICS KOC,674577.00,2026-03-30,900000018003,
ADV-000042,INV-2026-000203,ASHWINI CABLE SYRTEMS LLP,258013.00,2026-04-23,900000018055,
ADV-000043,INV-2026-000204,MERIDIAN LAB SUPPLIES LLP,569943.00,2026-04-16,900000018061,
ADV-000044,INV-2026-000205,TRINETRA PIPING SOLUTIONS LLP,633056.00,2026-05-15,,
ADV-000045,INV-2026-000211,ORBITEX PACKAGING PRIVATE LIMITED,394783.00,2026-05-11,900000018310,
ADV-000046,INV-2026-000212,ORBITEX PACKAGING PRIVATE ,2083834.00,2026-05-14,900000018320,
ADV-000047,INV-2026-000218,ANANT INFRA CONVEYANCES ,103298.00,2026-04-16,900000018478,
ADV-000048,INV-2026-000219,ASHWINI INTERIORS & CO,357338.00,2026-04-13,,
ADV-000049,,ZENITH ONE ,261579.00,2026-05-10,,
ADV-000050,INV-2026-000227,NALANDA FAB SERVICES PRIVATE LIMITED,235430.00,2026-05-18,900000018841,
ADV-000051,INV-2026-000228,NALANDA FAB SERVICES PUN,1308051.00,2026-05-29,,
ADV-000052,INV-2026-000242,ASHWINT INTERIORS,466916.00,2026-05-03,,
ADV-000053,INV-2026-000247,SHREE BALAJI MACHINE PARTS & CO,546127.00,2026-06-08,,
ADV-000054,INV-2026-000252,ZENITH ONE L,613476.00,2026-05-04,,
ADV-000055,,MERIDIAN LAB SUPPLIES LTD,700433.00,2026-04-05,,
ADV-000056,INV-2026-000256,MERIDIAN LAB SUPPLIES LLP,452482.00,2026-04-10,,
ADV-000057,,ASHWINI CO,2194977.00,2026-05-03,900000020242,
ADV-000058,INV-2026-000273,ORBITEX PAC ,113703.00,2026-05-19,900000020746,
ADV-000059,,NALANDA FAB SERVICES PRIVATE LIMITED,60784.00,2026-05-17,,
ADV-000060,INV-2026-000279,TRINETRA PIPING SOLUTIONS LLP,84034.00,2026-05-22,900000021127,
ADV-000061,INV-2026-000280,TRIVIDATA ROOFING PRODUCTS,428761.00,2026-05-05,,
ADV-000062,INV-2026-000283,NALANDA FAB SERVICES PUN,603218.00,2026-05-31,,
ADV-000063,INV-2026-000287,SAPTAGIRI ANALYTICS LTD,1161776.00,2026-04-01,900000021437,
ADV-000064,INV-2026-000290,MERIDIAN LA,815948.00,2026-04-10,,
ADV-000065,INV-2026-000292,ORBITEX PACKAGING RAJ,1463037.00,2026-05-19,900000021527,
