payment_id,order_id,amount,method,fee,captured_at,status,settlement_id,notes_invoice_no
pay_260309000000,order_260309000,912.00,card,18.24,2026-03-09T21:16:00+05:30,captured,setl_00000001,
pay_260309000001,order_260309000,3639.00,card,72.78,2026-03-09T19:09:00+05:30,captured,setl_00000001,
pay_260309000002,order_260309000,1971.00,upi_apps,39.42,2026-03-09T20:19:00+05:30,captured,setl_00000001,
pay_260309000003,order_260309000,887.00,wallet,17.74,2026-03-09T21:59:00+05:30,captured,setl_00000001,
pay_260309000004,order_260309000,3396.00,card,67.92,2026-03-09T09:28:00+05:30,captured,setl_00000001,
pay_260309000005,order_260309000,2972.00,netbanking,26.74,2026-03-09T18:37:00+05:30,captured,setl_00000001,
pay_260309000006,order_260309000,4335.00,card,86.70,2026-03-09T18:07:00+05:30,captured,setl_00000001,
pay_260309000007,order_260309000,2473.00,upi_apps,49.46,2026-03-09T18:27:00+05:30,captured,setl_00000001,
pay_260309000008,order_260309000,4299.00,upi_apps,85.98,2026-03-09T10:14:00+05:30,captured,setl_00000001,
pay_260309000009,order_260309000,5144.00,netbanking,46.29,2026-03-09T13:54:00+05:30,captured,setl_00000001,
pay_260309000010,order_260309000,2441.00,card,48.82,2026-03-09T19:06:00+05:30,captured,setl_00000001,
pay_260309000011,order_260309000,3175.00,upi_apps,63.50,2026-03-09T10:22:00+05:30,captured,setl_00000001,
pay_260309000012,order_260309000,2969.00,upi_apps,59.38,2026-03-09T20:48:00+05:30,captured,setl_00000001,
pay_260309000013,order_260309000,2227.00,upi_apps,44.54,2026-03-09T09:41:00+05:30,captured,setl_00000001,
pay_260309000014,order_260309000,1544.00,netbanking,13.89,2026-03-09T16:26:00+05:30,captured,setl_00000001,
pay_260309000015,order_260309000,1843.00,upi_apps,36.86,2026-03-09T18:11:00+05:30,captured,setl_00000001,
pay_260309000016,order_260309000,3674.00,card,73.48,2026-03-09T19:12:00+05:30,captured,setl_00000001,
pay_260309000017,order_260309000,1857.00,upi_apps,37.14,2026-03-09T22:13:00+05:30,captured,setl_00000001,
pay_260309000018,order_260309000,1944.00,netbanking,17.49,2026-03-09T17:58:00+05:30,captured,setl_00000001,
pay_260309000019,order_260309000,5299.00,wallet,105.98,2026-03-09T17:07:00+05:30,captured,setl_00000001,
pay_260309000020,order_260309000,3858.00,upi_apps,77.16,2026-03-09T14:41:00+05:30,captured,setl_00000001,
pay_260309000021,order_260309000,4237.00,upi_apps,84.74,2026-03-09T18:29:00+05:30,captured,setl_00000001,
pay_260309000022,order_260309000,1130.00,upi_apps,22.60,2026-03-09T22:15:00+05:30,captured,setl_00000001,
pay_260309000023,order_260309000,2194.00,netbanking,19.74,2026-03-09T09:15:00+05:30,captured,setl_00000001,
pay_260309000024,order_260309000,4672.00,card,93.44,2026-03-09T08:10:00+05:30,captured,setl_00000001,
pay_260309000025,order_260309000,1462.00,netbanking,13.15,2026-03-09T10:13:00+05:30,captured,setl_00000001,
pay_260309000026,order_260309000,4099.00,card,81.98,2026-03-09T12:29:00+05:30,captured,setl_00000001,
pay_260309000027,order_260309000,1701.00,card,34.02,2026-03-09T18:43:00+05:30,captured,setl_00000001,
pay_260309000028,order_260309000,1536.00,upi_apps,30.72,2026-03-09T14:19:00+05:30,captured,setl_00000001,
pay_260309000029,order_260309000,1586.00,wallet,31.72,2026-03-09T16:01:00+05:30,captured,setl_00000001,
pay_260309000030,order_260309000,1688.00,card,33.76,2026-03-09T15:43:00+05:30,captured,setl_00000001,
pay_260309000031,order_260309000,604.00,upi_apps,12.08,2026-03-09T18:35:00+05:30,captured,setl_00000001,
pay_260309000032,order_260309000,3092.00,upi_apps,61.84,2026-03-09T08:07:00+05:30,captured,setl_00000001,
pay_260309000033,order_260309000,907.00,upi_apps,18.14,2026-03-09T12:30:00+05:30,captured,setl_00000001,
pay_260309000034,order_260309000,1805.00,upi_apps,36.10,2026-03-09T09:25:00+05:30,captured,setl_00000001,
pay_260309000035,order_260309000,1495.00,upi_apps,29.90,2026-03-09T12:12:00+05:30,captured,setl_00000001,
pay_260309000036,order_260309000,5347.00,netbanking,48.12,2026-03-09T11:35:00+05:30,captured,setl_00000001,
pay_260309000037,order_260309000,2225.00,card,44.50,2026-03-09T11:34:00+05:30,captured,setl_00000001,
pay_260309000038,order_260309000,3774.00,card,75.48,2026-03-09T15:18:00+05:30,captured,setl_00000001,
pay_260309000039,order_260309000,1827.00,card,36.54,2026-03-09T11:46:00+05:30,captured,setl_00000001,
pay_260309000040,order_260309000,1463.00,upi_apps,29.26,2026-03-09T14:31:00+05:30,captured,setl_00000001,
pay_260309000041,order_260309000,2670.00,card,53.40,2026-03-09T15:27:00+05:30,captured,setl_00000001,
pay_260309000042,order_260309000,2844.00,upi_apps,56.88,2026-03-09T12:28:00+05:30,captured,setl_00000001,
pay_260309000043,order_260309000,3274.00,card,65.48,2026-03-09T13:58:00+05:30,captured,setl_00000001,
pay_260309000044,order_260309000,5272.00,upi_apps,105.44,2026-03-09T09:32:00+05:30,captured,setl_00000001,
pay_260309000045,order_260309000,3226.00,wallet,64.52,2026-03-09T17:09:00+05:30,captured,setl_00000001,
pay_260309000046,order_260309000,4311.00,upi_apps,86.22,2026-03-09T21:43:00+05:30,captured,setl_00000001,
pay_260310000047,order_260310001,3037.00,card,60.74,2026-03-10T10:03:00+05:30,captured,setl_00000002,
pay_260310000048,order_260310001,3087.00,upi_apps,61.74,2026-03-10T08:21:00+05:30,captured,setl_00000002,
pay_260310000049,order_260310001,609.00,upi_apps,12.18,2026-03-10T22:32:00+05:30,captured,setl_00000002,
pay_260310000050,order_260310001,3645.00,upi_apps,72.90,2026-03-10T15:24:00+05:30,captured,setl_00000002,
pay_260310000051,order_260310001,1964.00,upi_apps,39.28,2026-03-10T22:55:00+05:30,captured,setl_00000002,
pay_260310000052,order_260310001,4373.00,upi_apps,87.46,2026-03-10T18:56:00+05:30,captured,setl_00000002,
pay_260310000053,order_260310001,2675.00,upi_apps,53.50,2026-03-10T14:13:00+05:30,captured,setl_00000002,
pay_260310000054,order_260310001,2812.00,card,56.24,2026-03-10T21:35:00+05:30,captured,setl_00000002,
pay_260310000055,order_260310001,829.00,card,16.58,2026-03-10T17:00:00+05:30,captured,setl_00000002,
pay_260310000056,order_260310001,5364.00,netbanking,48.27,2026-03-10T21:38:00+05:30,captured,setl_00000002,
pay_260310000057,order_260310001,1086.00,card,21.72,2026-03-10T15:12:00+05:30,captured,setl_00000002,
pay_260310000058,order_260310001,1303.00,card,26.06,2026-03-10T18:39:00+05:30,captured,setl_00000002,
pay_260310000059,order_260310001,4188.00,upi_apps,83.76,2026-03-10T17:37:00+05:30,captured,setl_00000002,
pay_260310000060,order_260310001,4348.00,card,86.96,2026-03-10T20:34:00+05:30,captured,setl_00000002,
pay_260310000061,order_260310001,1266.00,card,25.32,2026-03-10T11:46:00+05:30,captured,setl_00000002,
pay_260310000062,order_260310001,951.00,upi_apps,19.02,2026-03-10T15:19:00+05:30,captured,setl_00000002,
pay_260310000063,order_260310001,904.00,netbanking,8.13,2026-03-10T14:00:00+05:30,captured,setl_00000002,
pay_260310000064,order_260310001,3219.00,upi_apps,64.38,2026-03-10T10:40:00+05:30,captured,setl_00000002,
pay_260310000065,order_260310001,4942.00,card,98.84,2026-03-10T15:29:00+05:30,captured,setl_00000002,
pay_260310000066,order_260310001,2023.00,upi_apps,40.46,2026-03-10T17:03:00+05:30,captured,setl_00000002,
pay_260310000067,order_260310001,2807.00,upi_apps,56.14,2026-03-10T16:51:00+05:30,captured,setl_00000002,
pay_260310000068,order_260310001,2140.00,upi_apps,42.80,2026-03-10T14:23:00+05:30,captured,setl_00000002,
pay_260310000069,order_260310001,1083.00,card,21.66,2026-03-10T08:59:00+05:30,captured,setl_00000002,
pay_260310000070,order_260310001,1983.00,upi_apps,39.66,2026-03-10T18:17:00+05:30,captured,setl_00000002,
pay_260310000071,order_260310001,637.00,upi_apps,12.74,2026-03-10T08:10:00+05:30,captured,setl_00000002,
pay_260310000072,order_260310001,1843.00,netbanking,16.58,2026-03-10T17:23:00+05:30,captured,setl_00000002,
pay_260310000073,order_260310001,2038.00,card,40.76,2026-03-10T16:37:00+05:30,captured,setl_00000002,
pay_260310000074,order_260310001,2069.00,card,41.38,2026-03-10T12:18:00+05:30,captured,setl_00000002,
pay_260310000075,order_260310001,4278.00,wallet,85.56,2026-03-10T16:03:00+05:30,captured,setl_00000002,
pay_260310000076,order_260310001,1496.00,card,29.92,2026-03-10T17:31:00+05:30,captured,setl_00000002,
pay_260310000077,order_260310001,2295.00,upi_apps,45.90,2026-03-10T18:14:00+05:30,captured,setl_00000002,
pay_260310000078,order_260310001,3652.00,netbanking,32.86,2026-03-10T16:01:00+05:30,captured,setl_00000002,
pay_260310000079,order_260310001,4161.00,upi_apps,83.22,2026-03-10T20:28:00+05:30,captured,setl_00000002,
pay_260310000080,order_260310001,2680.00,upi_apps,53.60,2026-03-10T12:11:00+05:30,captured,setl_00000002,
pay_260310000081,order_260310001,2971.00,netbanking,26.73,2026-03-10T10:24:00+05:30,captured,setl_00000002,
pay_260310000082,order_260310001,1316.00,wallet,26.32,2026-03-10T09:32:00+05:30,captured,setl_00000002,
pay_260310000083,order_260310001,2015.00,upi_apps,40.30,2026-03-10T20:56:00+05:30,captured,setl_00000002,
pay_260310000084,order_260310001,3001.00,upi_apps,60.02,2026-03-10T20:09:00+05:30,captured,setl_00000002,
pay_260310000085,order_260310001,2748.00,card,54.96,2026-03-10T22:03:00+05:30,captured,setl_00000002,
pay_260310000086,order_260310001,2761.00,card,55.22,2026-03-10T11:55:00+05:30,captured,setl_00000002,
pay_260310000087,order_260310001,4306.00,card,86.12,2026-03-10T15:23:00+05:30,captured,setl_00000002,
pay_260310000088,order_260310001,2677.00,upi_apps,53.54,2026-03-10T16:45:00+05:30,captured,setl_00000002,
pay_260311000089,order_260311002,4685.00,card,93.70,2026-03-11T13:53:00+05:30,captured,setl_00000003,
pay_260311000090,order_260311002,2954.00,netbanking,26.58,2026-03-11T22:43:00+05:30,captured,setl_00000003,
pay_260311000091,order_260311002,3508.00,wallet,70.16,2026-03-11T08:09:00+05:30,captured,setl_00000003,
pay_260311000092,order_260311002,3603.00,netbanking,32.42,2026-03-11T19:28:00+05:30,captured,setl_00000003,
pay_260311000093,order_260311002,3009.00,upi_apps,60.18,2026-03-11T15:24:00+05:30,captured,setl_00000003,
pay_260311000094,order_260311002,5129.00,wallet,102.58,2026-03-11T09:48:00+05:30,captured,setl_00000003,
pay_260311000095,order_260311002,4477.00,upi_apps,89.54,2026-03-11T10:22:00+05:30,captured,setl_00000003,
pay_260311000096,order_260311002,921.00,upi_apps,18.42,2026-03-11T13:33:00+05:30,captured,setl_00000003,
pay_260311000097,order_260311002,3480.00,upi_apps,69.60,2026-03-11T08:31:00+05:30,captured,setl_00000003,
pay_260311000098,order_260311002,5199.00,card,103.98,2026-03-11T22:38:00+05:30,captured,setl_00000003,
pay_260311000099,order_260311002,840.00,wallet,16.80,2026-03-11T13:57:00+05:30,captured,setl_00000003,
pay_260311000100,order_260311002,4623.00,upi_apps,92.46,2026-03-11T10:23:00+05:30,captured,setl_00000003,
pay_260311000101,order_260311002,795.00,upi_apps,15.90,2026-03-11T20:29:00+05:30,captured,setl_00000003,
pay_260311000102,order_260311002,4647.00,upi_apps,92.94,2026-03-11T15:40:00+05:30,captured,setl_00000003,
pay_260311000103,order_260311002,5302.00,upi_apps,106.04,2026-03-11T15:01:00+05:30,captured,setl_00000003,
pay_260311000104,order_260311002,1949.00,wallet,38.98,2026-03-11T13:52:00+05:30,captured,setl_00000003,
pay_260311000105,order_260311002,2786.00,card,55.72,2026-03-11T19:59:00+05:30,captured,setl_00000003,
pay_260311000106,order_260311002,1260.00,upi_apps,25.20,2026-03-11T08:08:00+05:30,captured,setl_00000003,
pay_260311000107,order_260311002,932.00,upi_apps,18.64,2026-03-11T15:28:00+05:30,captured,setl_00000003,
