refund_id,payment_id,amount,created_at,settlement_id,status
rfnd_0000000,pay_260309000022,567.13,2026-03-10,setl_00000001,processed
rfnd_0000001,pay_260309000033,867.50,2026-03-10,setl_00000001,processed
rfnd_0000002,pay_260311000098,3044.94,2026-03-12,setl_00000003,processed
rfnd_0000003,pay_260311000126,1497.08,2026-03-12,setl_00000003,processed
rfnd_0000004,pay_260311000128,1481.38,2026-03-12,setl_00000003,processed
rfnd_0000005,pay_260311000134,1049.58,2026-03-12,setl_00000003,processed
rfnd_0000006,pay_260313000219,1145.19,2026-03-14,setl_00000005,processed
rfnd_0000007,pay_260316000295,330.64,2026-03-17,setl_00000007,processed
rfnd_0000008,pay_260317000312,2279.75,2026-03-18,setl_00000008,processed
rfnd_0000009,pay_260317000319,4255.68,2026-03-18,setl_00000008,processed
rfnd_0000010,pay_260317000332,2187.35,2026-03-18,setl_00000008,processed
rfnd_0000011,pay_260317000336,1317.87,2026-03-18,setl_00000008,processed
rfnd_0000012,pay_260318000371,3121.87,2026-03-19,setl_00000009,processed
rfnd_0000013,pay_260318000384,1907.23,2026-03-19,setl_00000009,processed
rfnd_0000014,pay_260319000425,1884.64,2026-03-20,setl_00000010,processed
rfnd_0000015,pay_260320000446,566.05,2026-03-21,setl_00000011,processed
rfnd_0000016,pay_260320000464,911.09,2026-03-21,setl_00000011,processed
rfnd_0000017,pay_260322000484,820.35,2026-03-23,setl_00000013,processed
rfnd_0000018,pay_260325000579,1470.07,2026-03-26,setl_00000016,processed
rfnd_0000019,pay_260326000653,977.17,2026-03-27,setl_00000017,processed
rfnd_0000020,pay_260326000672,1626.27,2026-03-27,setl_00000017,processed
rfnd_0000021,pay_260327000720,1220.06,2026-03-28,setl_00000018,processed
rfnd_0000022,pay_260330000880,789.44,2026-03-31,setl_00000021,processed
rfnd_0000023,pay_260331000882,1647.42,2026-04-01,setl_00000022,processed
rfnd_0000024,pay_260331000885,2266.67,2026-04-01,setl_00000022,processed
rfnd_0000025,pay_260331000900,2367.72,2026-04-01,setl_00000022,processed
rfnd_0000026,pay_260401000960,1430.21,2026-04-02,setl_00000023,processed
rfnd_0000027,pay_260401000961,595.76,2026-04-02,setl_00000023,processed
rfnd_0000028,pay_260401000974,3214.03,2026-04-02,setl_00000023,processed
rfnd_0000029,pay_260402001003,1900.53,2026-04-03,setl_00000024,processed
rfnd_0000030,pay_260402001012,834.14,2026-04-03,setl_00000024,processed
rfnd_0000031,pay_260402001022,2184.13,2026-04-03,setl_00000024,processed
rfnd_0000032,pay_260402001025,2327.47,2026-04-03,setl_00000024,processed
rfnd_0000033,pay_260403001045,2136.37,2026-04-04,setl_00000025,processed
rfnd_0000034,pay_260403001069,468.83,2026-04-04,setl_00000025,processed
rfnd_0000035,pay_260404001072,954.12,2026-04-05,setl_00000026,processed
rfnd_0000036,pay_260406001087,1570.56,2026-04-07,setl_00000027,processed
rfnd_0000037,pay_260406001089,1085.02,2026-04-07,setl_00000027,processed
rfnd_0000038,pay_260406001095,1331.55,2026-04-07,setl_00000027,processed
rfnd_0000039,pay_260407001105,553.22,2026-04-08,setl_00000028,processed
rfnd_0000040,pay_260408001139,848.17,2026-04-09,setl_00000029,processed
rfnd_0000041,pay_260409001208,1264.35,2026-04-10,setl_00000030,processed
rfnd_0000042,pay_260410001217,781.57,2026-04-11,setl_00000031,processed
rfnd_0000043,pay_260410001222,2081.69,2026-04-11,setl_00000031,processed
rfnd_0000044,pay_260413001307,4928.55,2026-04-14,setl_00000034,processed
rfnd_0000045,pay_260415001348,1606.39,2026-04-16,setl_00000036,processed
