settlement_id,settled_on,payout_utr,batch_type,txn_count,gross_amount,commission_amount,tmn_amount,gst_amount,tds_amount,net_amount,scheduled_id
setl_00000001,2026-03-11,900000000056,regular,47,129300.00,2359.28,1.29,424.90,47.18,125032.72,stl_sch_000001
setl_00000002,2026-03-12,900000000087,regular,42,107582.00,1989.53,1.07,358.30,39.79,104336.56,stl_sch_000002
setl_00000003,2026-03-13,900000000173,regular,48,148210.00,2742.60,1.48,493.93,54.85,137844.16,stl_sch_000003
setl_00000004,2026-03-14,900000000187,regular,47,149008.00,2523.61,1.49,454.51,50.47,142430.60,stl_sch_000004
setl_00000005,2026-03-16,900000000266,regular,52,148021.00,2960.42,1.48,533.14,59.20,143321.57,stl_sch_000005
setl_00000006,2026-03-16,900000000355,regular,17,52488.00,932.66,0.52,167.97,18.65,51368.20,stl_sch_000006
setl_00000007,2026-03-18,900000000403,regular,43,114776.00,2098.83,1.14,377.99,41.97,111925.43,stl_sch_000007
setl_00000008,2026-03-19,900000000474,regular,55,166111.00,2926.73,1.66,527.11,58.53,152556.32,stl_sch_000008
setl_00000009,2026-03-20,900000000561,regular,54,143657.00,2659.30,1.43,478.93,53.18,135435.06,stl_sch_000009
setl_00000010,2026-03-21,900000000628,regular,36,118561.00,2252.48,1.18,405.65,45.04,113642.54,stl_sch_000010
setl_00000011,2026-03-23,900000000712,regular,36,105134.00,1954.64,1.05,352.02,39.09,101310.06,stl_sch_000011
setl_00000012,2026-03-23,900000000786,regular,2,4797.00,65.89,0.04,11.86,1.31,4717.90,stl_sch_000012
setl_00000013,2026-03-24,900000000801,regular,7,19438.00,277.14,0.19,49.91,5.54,18284.87,stl_sch_000013
setl_00000014,2026-03-25,900000000846,regular,45,135131.00,2285.39,1.35,411.61,45.70,132386.95,stl_sch_000014
setl_00000015,2026-03-26,900000000858,regular,45,126677.00,2324.76,1.26,418.68,46.49,123885.81,stl_sch_000015
setl_00000016,2026-03-27,900000000888,regular,57,161169.00,2893.21,1.61,521.06,57.86,156225.19,stl_sch_000016
setl_00000017,2026-03-28,900000000963,regular,68,210696.00,3944.46,2.10,710.38,78.88,203356.74,stl_sch_000017
setl_00000018,2026-03-30,900000001060,regular,80,242237.00,4209.75,2.42,758.19,84.19,235962.39,stl_sch_000018
setl_00000019,2026-03-30,900000001093,regular,31,90548.00,1684.16,0.90,303.31,33.68,88525.95,stl_sch_000019
setl_00000020,2026-03-31,900000001106,regular,7,17139.00,342.78,0.17,61.73,6.85,16727.47,stl_sch_000020
setl_00000021,2026-04-01,900000001192,regular,63,172222.00,3151.97,1.72,567.66,63.03,167648.18,stl_sch_000021
setl_00000022,2026-04-02,900000001289,regular,58,160941.00,3055.60,1.60,550.29,61.11,150990.59,stl_sch_000022
setl_00000023,2026-04-03,900000001306,regular,55,179141.00,3209.00,1.79,577.94,64.18,170048.09,stl_sch_000023
setl_00000024,2026-04-04,900000001341,regular,32,92533.00,1751.13,0.92,315.36,35.02,83184.30,stl_sch_000024
setl_00000025,2026-04-06,900000001369,regular,45,139114.00,2546.11,1.39,458.55,50.92,133451.83,stl_sch_000025
setl_00000026,2026-04-06,900000001409,regular,5,18787.00,375.74,0.18,67.66,7.51,17381.79,stl_sch_000026
setl_00000027,2026-04-08,900000001423,regular,27,96935.00,1839.57,0.96,331.29,36.79,90739.26,stl_sch_000027
setl_00000028,2026-04-09,900000001482,regular,32,102276.00,1869.85,1.02,336.75,37.39,99477.77,stl_sch_000028
setl_00000029,2026-04-10,900000001515,regular,30,81848.00,1453.84,0.81,261.83,29.07,79254.28,stl_sch_000029
setl_00000030,2026-04-11,900000001584,regular,46,135279.00,2560.34,1.35,461.10,51.20,130940.66,stl_sch_000030
setl_00000031,2026-04-13,900000001621,regular,40,103146.00,1904.96,1.03,343.07,38.09,97995.59,stl_sch_000031
setl_00000032,2026-04-13,900000001646,regular,7,18747.00,327.40,0.18,58.96,6.54,18353.92,stl_sch_000032
setl_00000033,2026-04-14,900000001689,regular,10,25841.00,501.86,0.25,90.37,10.03,25238.49,stl_sch_000033
setl_00000034,2026-04-15,900000001754,regular,41,119829.00,2273.23,1.19,409.39,45.46,112171.18,stl_sch_000034
setl_00000035,2026-04-16,900000001804,regular,32,103240.00,1996.18,1.03,359.49,39.92,100843.38,stl_sch_000035
setl_00000036,2026-04-17,900000001873,regular,36,115005.00,2126.09,1.15,382.90,42.52,110845.95,stl_sch_000036
setl_00000037,2026-04-18,900000001939,regular,32,92356.00,1655.03,0.92,298.07,33.10,87886.96,stl_sch_000037
setl_00000038,2026-04-20,900000001950,regular,42,121208.00,2188.96,1.21,394.23,43.77,117285.68,stl_sch_000038
setl_00000039,2026-04-20,900000001968,regular,13,42248.00,844.96,0.42,152.16,16.89,41233.57,stl_sch_000039
setl_00000040,2026-04-21,900000002005,regular,19,48233.00,964.66,0.48,173.72,19.29,45505.36,stl_sch_000040
setl_00000041,2026-04-22,900000002091,regular,47,137670.00,2428.03,1.37,437.29,48.56,134754.75,stl_sch_000041
setl_00000042,2026-04-23,900000002145,regular,31,95501.00,1834.56,0.95,330.39,36.69,93298.41,stl_sch_000042
setl_00000043,2026-04-24,900000002187,regular,40,122226.00,2250.38,1.22,405.28,45.00,119524.12,stl_sch_000043
setl_00000044,2026-04-25,900000002282,regular,31,92838.00,1755.81,0.92,316.21,35.11,89246.33,stl_sch_000044
setl_00000045,2026-04-27,900000002348,regular,40,102868.00,1857.36,1.02,334.50,37.14,100637.98,stl_sch_000045
setl_00000046,2026-04-27,900000002387,regular,13,39566.00,770.48,0.39,138.75,15.40,38233.00,stl_sch_000046
setl_00000047,2026-04-28,900000002446,regular,9,22106.00,420.25,0.22,75.68,8.40,15773.98,stl_sch_000047
setl_00000048,2026-04-29,900000002521,regular,47,133068.00,2521.04,1.33,454.02,50.42,130041.19,stl_sch_000048
setl_00000049,2026-04-30,900000002607,regular,20,56692.00,988.09,0.56,177.95,19.76,52510.22,stl_sch_000049
setl_00000050,2026-05-01,900000002650,regular,37,130655.00,2552.06,1.30,459.60,51.04,119367.86,stl_sch_000050
setl_00000051,2026-05-02,900000002733,regular,26,85379.00,1565.48,0.85,281.93,31.30,83499.44,stl_sch_000051
setl_00000052,2026-05-04,900000002774,regular,30,98326.00,1838.48,0.98,331.10,36.76,95182.68,stl_sch_000052
setl_00000053,2026-05-04,900000002789,regular,13,41862.00,807.73,0.41,145.46,16.15,40892.25,stl_sch_000053
setl_00000054,2026-05-06,900000002826,regular,50,137923.00,2527.19,1.37,455.14,50.54,130947.11,stl_sch_000054
setl_00000055,2026-05-07,900000002851,regular,42,123525.00,2302.94,1.23,414.75,46.05,120760.03,stl_sch_000055
setl_00000056,2026-05-08,900000002894,regular,47,118181.00,2221.22,1.18,400.03,44.42,112578.80,stl_sch_000056
setl_00000057,2026-05-09,900000002924,regular,39,116574.00,2106.27,1.16,379.33,42.12,113234.19,stl_sch_000057
setl_00000058,2026-05-11,900000002947,regular,37,105143.00,1989.50,1.05,358.29,39.79,92878.71,stl_sch_000058
setl_00000059,2026-05-11,900000003005,regular,11,30084.00,512.48,0.30,92.30,10.24,29468.68,stl_sch_000059
setl_00000060,2026-05-12,900000003043,regular,2,3952.00,79.04,0.03,14.23,1.58,3845.60,stl_sch_000060
setl_00000061,2026-05-13,900000003101,regular,40,124954.00,2228.91,1.24,401.42,44.57,122277.86,stl_sch_000061
setl_00000062,2026-05-14,900000003192,regular,28,84722.00,1538.87,0.84,277.14,30.77,82874.38,stl_sch_000062
setl_00000063,2026-05-15,900000003214,regular,35,87471.00,1571.62,0.87,283.04,31.43,85165.29,stl_sch_000063
setl_00000064,2026-05-16,900000003221,regular,36,107385.00,1949.92,1.07,351.17,38.99,105043.85,stl_sch_000064
setl_00000065,2026-05-18,900000003240,regular,58,164907.00,3025.11,1.64,544.81,60.50,159912.26,stl_sch_000065
setl_00000066,2026-05-18,900000003326,regular,16,45679.00,901.54,0.45,162.35,18.03,44596.63,stl_sch_000066
setl_00000067,2026-05-19,900000003389,regular,4,15315.00,250.80,0.15,45.17,5.01,14547.32,stl_sch_000067
setl_00000068,2026-05-20,900000003422,regular,46,129528.00,2337.49,1.29,420.98,46.74,126721.50,stl_sch_000068
setl_00000069,2026-05-21,900000003441,regular,39,104616.00,1869.10,1.04,336.62,37.38,101679.27,stl_sch_000069
setl_00000070,2026-05-22,900000003477,regular,9,21514.00,390.52,0.21,70.33,7.81,21045.13,stl_sch_000070
setl_00000071,2026-05-23,900000003572,regular,28,92993.00,1823.48,0.92,328.39,36.46,87606.75,stl_sch_000071
setl_00000072,2026-05-25,900000003586,regular,32,92086.00,1744.96,0.92,314.25,34.89,89990.98,stl_sch_000072
setl_00000073,2026-05-25,900000003663,regular,16,46126.00,853.24,0.46,153.66,17.06,45101.58,stl_sch_000073
setl_00000074,2026-05-26,900000003746,regular,6,19257.00,385.14,0.19,69.35,7.70,18794.62,stl_sch_000074
setl_00000075,2026-05-27,900000003835,regular,43,125564.00,2271.25,1.25,409.05,45.42,120164.85,stl_sch_000075
setl_00000076,2026-05-28,900000003899,regular,51,149744.00,2901.84,1.49,522.59,58.03,144657.48,stl_sch_000076
setl_00000077,2026-05-29,900000003954,regular,31,89699.00,1706.45,0.89,307.32,34.12,87650.22,stl_sch_000077
setl_00000078,2026-05-30,900000003984,regular,48,145063.00,2645.16,1.45,476.38,52.90,141458.28,stl_sch_000078
