day,expected_in_paise,expected_out_paise,net_paise
2026-09-07,283292174,126985400,156306774
2026-09-08,239924600,163551200,76373400
2026-09-09,605108400,166785400,438323000
2026-09-10,166068600,125889200,40179400
2026-09-11,588700300,108383500,480316800
2026-09-12,599856200,133562500,466293700
2026-09-14,956550100,366214200,590335900
2026-09-15,236835000,151994800,84840200
2026-09-16,1161473100,95838200,1065634900
2026-09-17,358733800,332662400,26071400
2026-09-18,600116900,100981000,499135900
2026-09-19,119100300,130922300,-11822000
2026-09-21,829146100,245543300,583602800
2026-09-22,216410200,384105300,-167695100
2026-09-23,721281800,146475200,574806600
2026-09-24,355094100,27447400,327646700
2026-09-25,53935500,39341400,14594100
2026-09-26,286975000,100216700,186758300
2026-09-28,722245400,388537000,333708400
2026-09-29,233116200,37021300,196094900
2026-09-30,412641200,394140300,18500900
2026-10-01,225309800,214275600,11034200
2026-10-03,792251000,424211300,368039700
2026-10-05,533604700,153480500,380124200
2026-10-06,50030400,854574400,-804544000
2026-10-07,240901900,113176300,127725600
2026-10-08,120502400,107977600,12524800
2026-10-09,106491000,15082500,91408500
2026-10-10,21667200,281522300,-259855100
2026-10-12,295941400,139218800,156722600
2026-10-13,267289800,431491400,-164201600
2026-10-14,958821000,332019800,626801200
2026-10-15,199675100,180405500,19269600
2026-10-16,386405600,80079800,306325800
2026-10-17,608010800,169490000,438520800
2026-10-19,1643958100,519561300,1124396800
2026-10-20,377756800,220755700,157001100
2026-10-21,159598800,136718600,22880200
2026-10-22,182131900,176080300,6051600
2026-10-23,297706600,63976400,233730200
2026-10-24,290886700,111937300,178949400
2026-10-26,561459700,321341700,240118000
2026-10-27,186159200,31791300,154367900
2026-10-28,275953400,261682000,14271400
2026-10-29,285110400,90460700,194649700
2026-10-30,327889600,88130700,239758900
2026-10-31,562979000,37677800,525301200
2026-11-02,475578000,129284000,346294000
2026-11-03,96848200,53457600,43390600
2026-11-04,379547500,54376700,325170800
2026-11-05,298091300,45713600,252377700
2026-11-06,73575300,452717700,-379142400
2026-11-07,551570200,50937800,500632400
2026-11-09,388831800,723304600,-334472800
2026-11-10,0,108684500,-108684500
2026-11-11,83875300,21782700,62092600
2026-11-12,0,78194900,-78194900
2026-11-13,509472900,46973600,462499300
2026-11-14,380847800,104963000,275884800
2026-11-16,426194300,48455800,377738500
2026-11-17,36018400,0,36018400
2026-11-18,130006800,161122800,-31116000
2026-11-19,28899100,158519900,-129620800
2026-11-20,22858500,10510600,12347900
2026-11-21,134970300,35019000,99951300
2026-11-23,128093000,275171000,-147078000
2026-11-24,72805700,71995300,810400
2026-11-25,5619900,0,5619900
2026-11-26,0,32650500,-32650500
2026-11-27,59651600,150449100,-90797500
2026-11-28,63271400,118130800,-54859400
2026-11-30,76583500,15314300,61269200
2026-12-01,0,24043900,-24043900
2026-12-02,29698200,0,29698200
2026-12-03,119652600,0,119652600
2026-12-04,0,19019100,-19019100
2026-12-05,3729000,0,3729000
2026-12-07,0,49120300,-49120300
2026-12-08,14463600,0,14463600
2026-12-09,0,45506100,-45506100
2026-12-10,0,50137400,-50137400
2026-12-14,11314400,0,11314400
2026-12-21,17872100,0,17872100
